,Unnamed: 0,NUMBER,ID_PARENT,FLUX_ISO,FLUXERR_ISO,MAG_ISO,MAGERR_ISO,BACKGROUND,ISOAREA_IMAGE,ISOAREAF_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,X_IMAGE,Y_IMAGE,X_IMAGE_DBL,Y_IMAGE_DBL,X_WORLD,Y_WORLD,A_IMAGE,B_IMAGE,THETA_IMAGE,ERRA_IMAGE,ERRB_IMAGE,ERRTHETA_IMAGE,XWIN_IMAGE,YWIN_IMAGE,XWIN_WORLD,YWIN_WORLD,X2WIN_IMAGE,Y2WIN_IMAGE,X2WIN_WORLD,Y2WIN_WORLD,AWIN_IMAGE,BWIN_IMAGE,THETAWIN_IMAGE,AWIN_WORLD,BWIN_WORLD,THETAWIN_WORLD,MU_THRESHOLD,FLAGS,FWHM_IMAGE,ELONGATION,ELLIPTICITY,CLASS_STAR,SUBDIV_NUMBER
6959,6959,34_79,34_78,2.180202,0.5978379,25.4576,0.2978,-6.117105e-05,1.0,1.0,2793.0,2291.0,2793.0,2291.0,2793.0,2291.0,192.0099405572404,27.28744257526257,0.289,0.289,45.0,0.07918,0.07918,45.0,2793.0,2291.0,192.0099405572404,27.28744257526257,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,41.266,0.0,0.0,1.0,0.0,0.995,34.0
6962,6962,34_82,34_75,0.7498315,0.3506041,26.6165,0.5078,0.008706687,1.0,1.0,2789.0,2278.0,2789.0,2278.0,2789.0,2278.0,192.0110716211752,27.29113356914677,0.289,0.289,45.0,0.13432,0.13432,45.0,2789.0,2278.0,192.0110716211752,27.29113356914677,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,99.0,0.0,0.0,1.0,0.0,0.955,34.0
6964,6964,34_84,34_73,4085.463,25.87949,17.2758,0.0069,-6.800477e-05,58.0,58.0,3068.0,2261.0,3067.0974,2261.5816,3067.0974,2261.5816,191.92292236583697,27.293186273498684,2.171,0.704,-61.5,0.01375,0.00446,-61.5,3067.0974,2261.5816,191.92292236583697,27.293186273498684,0.40355046857,0.78180669933,0.40355046857,0.78180669933,0.936,0.556,-65.96,0.9358475,0.5563691,-65.96,34.4317,16.0,6.03,3.083,0.676,1.0,34.0
6981,6981,34_101,34_56,36.71233,2.453246,22.3918,0.0726,-3.246918e-05,6.0,6.0,3067.0,2198.0,3065.7608,2198.0442,3065.7608,2198.0442,191.92267435535535,27.311058183998203,0.877,0.572,6.54,0.0586,0.03823,6.54,3065.7608,2198.0442,191.92267435535535,27.311058183998203,0.49691788589,0.28398345847,0.49691788589,0.28398345847,0.712,0.523,12.18,0.712263,0.5230514,12.18,34.9383,16.0,4.19,1.533,0.348,1.0,34.0
6982,6982,34_102,34_55,946.7436,12.45809,18.8633,0.0143,-2.010101e-05,19.0,19.0,3033.0,2192.0,3032.9152,2191.8537,3032.9152,2191.8537,191.9330009370336,27.31310375186824,0.754,0.73,-18.29,0.00992,0.0096,-18.3,3032.9152,2191.8537,191.9330009370336,27.31310375186824,0.28294891902,0.30069818046,0.28294891902,0.30069818046,0.549,0.532,82.53,0.5486428,0.5316373,82.53,37.3891,0.0,1.74,1.033,0.032,1.0,34.0
6988,6988,34_108,34_49,1326.842,14.74839,18.4968,0.0121,-1.555268e-06,17.0,17.0,3041.0,2165.0,3041.3626,2165.1832,3041.3626,2165.1832,191.9300471633665,27.32052201580649,0.777,0.627,-12.42,0.00863,0.00697,-12.42,3041.3626,2165.1832,191.9300471633665,27.32052201580649,0.27332287511,0.19102467499,0.27332287511,0.19102467499,0.524,0.435,-8.25,0.5244919,0.4350354,-8.25,41.6599,0.0,1.42,1.239,0.193,1.0,34.0
7003,7003,34_123,34_34,56.6537,3.047539,21.9208,0.0584,-1.555268e-06,8.0,8.0,3025.0,2126.0,3025.3495,2125.6083,3025.3495,2125.6083,191.9346972786964,27.331794952179497,0.667,0.525,-80.04,0.03589,0.02825,-80.05,3025.3495,2125.6083,191.9346972786964,27.331794952179497,0.19881101137,0.27101963428,0.19881101137,0.27101963428,0.54,0.422,-64.64,0.5403091,0.421778,-64.64,34.2065,0.0,2.06,1.271,0.213,1.0,34.0
7019,7019,34_139,34_18,27.05926,2.106168,22.7231,0.0845,-0.0009110137,7.0,7.0,2562.0,2076.0,2562.0574,2076.1688,2562.0574,2076.1688,192.0808263200736,27.34992831745185,0.894,0.233,-89.41,0.06958,0.01812,-89.41,2562.0574,2076.1688,192.0808263200736,27.34992831745185,0.101268189,0.21068752963,0.101268189,0.21068752963,0.459,0.318,89.61,0.4590125,0.3182189,89.61,43.8597,16.0,2.25,3.844,0.74,1.0,34.0
7025,7025,34_145,34_12,4.66473,0.8744823,24.6318,0.2036,-1.20759e-05,1.0,1.0,3023.0,2058.0,3023.0,2058.0,3023.0,2058.0,191.93472903720215,27.35082081532064,0.289,0.289,45.0,0.05412,0.05412,45.0,3023.0,2058.0,191.93472903720215,27.35082081532064,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,31.6186,0.0,0.0,1.0,0.0,0.997,34.0
7036,7036,35_1,35_154,41437.01,82.41937,14.7604,0.0022,0.002051927,2353.0,2353.0,106.0,2558.0,98.6113,2559.1746,98.6113,2559.1746,192.8651612515954,27.2340225503748,12.26,11.155,2.79,0.02439,0.02219,2.79,98.6113,2559.1746,192.8651612515954,27.2340225503748,83.256503656,47.345220627,83.256503656,47.345220627,9.125,6.881,0.31,9.124557,6.880711,0.31,43.1319,18.0,12.28,1.099,0.09,0.67,35.0
