col1,Unnamed: 0,NUMBER,ID_PARENT,FLUX_ISO,FLUXERR_ISO,MAG_ISO,MAGERR_ISO,BACKGROUND,ISOAREA_IMAGE,ISOAREAF_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,X_IMAGE,Y_IMAGE,X_IMAGE_DBL,Y_IMAGE_DBL,X_WORLD,Y_WORLD,A_IMAGE,B_IMAGE,THETA_IMAGE,ERRA_IMAGE,ERRB_IMAGE,ERRTHETA_IMAGE,XWIN_IMAGE,YWIN_IMAGE,XWIN_WORLD,YWIN_WORLD,X2WIN_IMAGE,Y2WIN_IMAGE,X2WIN_WORLD,Y2WIN_WORLD,AWIN_IMAGE,BWIN_IMAGE,THETAWIN_IMAGE,AWIN_WORLD,BWIN_WORLD,THETAWIN_WORLD,MU_THRESHOLD,FLAGS,FWHM_IMAGE,ELONGATION,ELLIPTICITY,CLASS_STAR,SUBDIV_NUMBER
12,12,0_13,0_35,3492.527,79.23177,16.9129,0.0246,195.8409,114.0,130.0,510.0,395.0,508.6794,394.0387,508.6794,394.0387,192.72938564554835,27.84200577709115,5.673,1.887,86.91,0.14588,0.0485,86.6,508.6794,394.0387,192.72938564554835,27.84200577709115,13.589312497,27.656115473,13.589312497,27.656115473,5.259,3.686,-89.54,5.258994,3.686247,-89.54,22.7505,24.0,19.63,3.006,0.667,0.0,0.0
49,49,1_2,1_1,22426.32,163.2182,14.8938,0.0079,195.6978,238.0,523.0,674.0,0.0,746.6979,0.0214,746.6979,0.0214,192.65026622240643,27.95087173348582,68.113,0.144,-0.01,1.3685,0.00307,-0.01,746.6979,0.0214,192.65026622240643,27.95087173348582,4639.3492259,0.020780285137,4639.3492259,0.020780285137,68.113,0.144,-0.01,68.11277,0.1435059,-0.01,22.7712,26.0,18.76,474.634,0.998,0.0,1.0
92,92,2_2,2_2,21968.08,158.9796,14.9163,0.0079,195.4032,390.0,524.0,1325.0,0.0,1203.7871,0.0422,1203.7871,0.0422,192.50483383529416,27.94720420238059,112.424,0.197,0.02,1.71675,0.00236,0.01,1203.7871,0.0422,192.50483383529416,27.94720420238059,12639.254168,0.040460209266,12639.254168,0.040460209266,112.424,0.197,0.02,112.4244,0.1968232,0.02,22.796,24.0,28.23,571.195,0.998,0.012,2.0
99,99,2_9,2_45,180.4883,16.71181,20.1296,0.1006,195.263,4.0,6.0,1004.0,428.0,1004.3086,427.4929,1004.3086,427.4929,192.572141888746,27.82872276768176,0.901,0.462,89.16,0.12434,0.06147,89.93,1004.3086,427.4929,192.572141888746,27.82872276768176,0.21427334331,0.61280916714,0.21427334331,0.61280916714,0.785,0.46,85.22,0.7846153,0.4598493,85.22,22.778,24.0,2.95,1.952,0.488,0.477,2.0
136,136,3_3,3_6,655.8134,29.07717,18.7288,0.0482,195.0535,17.0,18.0,2008.0,0.0,2007.922,0.0,2007.922,0.0,192.24908526235777,27.940421252825317,8.061,0.218,0.0,0.71325,0.01908,0.0,2007.922,0.0,192.24908526235777,27.940421252825317,22.130675381,1.5581225616,22.130675381,1.5581225616,4.723,1.174,5.31,4.723365,1.174145,5.31,22.7872,27.0,7.92,37.033,0.973,0.041,3.0
137,137,3_4,3_6,901.724,34.3364,18.3831,0.0414,195.1281,15.0,25.0,1987.0,0.0,1987.4962,0.0,1987.4962,0.0,192.2555797672237,27.94059967629986,5.419,0.289,0.0,0.53744,0.02792,0.0,1987.4962,0.0,192.2555797672237,27.94059967629986,77.312757626,6.7629483204,77.312757626,6.7629483204,8.795,2.593,1.37,8.795056,2.592813,1.37,22.783,27.0,7.48,18.771,0.947,0.32,3.0
138,138,3_5,3_5,4341.479,71.72453,16.6766,0.0179,195.609,76.0,108.0,1568.0,0.0,1580.2647,0.0925,1580.2647,0.0925,192.3850803258308,27.9440666959151,20.519,0.283,-0.17,0.72096,0.00973,-0.17,1580.2647,0.0925,192.3850803258308,27.9440666959151,421.00736294,0.08351873277,421.00736294,0.08351873277,20.519,0.283,-0.17,20.51855,0.2828686,-0.17,22.7915,27.0,14.45,72.537,0.986,0.001,3.0
139,139,3_6,3_5,3343.637,63.87661,16.9602,0.0207,195.7599,47.0,86.0,1652.0,0.0,1647.4659,0.0,1647.4659,0.0,192.3637068842224,27.94352459191057,13.915,0.289,0.0,0.7095,0.01448,0.0,1647.4659,0.0,192.3637068842224,27.94352459191057,193.63225248,0.0833333,193.63225248,0.0833333,13.915,0.289,0.0,13.91518,0.2886751,0.0,22.7814,27.0,12.01,48.204,0.979,0.0,3.0
140,140,3_7,3_5,976.1078,33.48855,18.297,0.0373,195.7874,25.0,25.0,1718.0,0.0,1724.386,0.0,1724.386,0.0,192.3392446381255,27.94287034213968,8.315,0.289,0.0,0.58319,0.01996,0.0,1724.386,0.0,192.3392446381255,27.94287034213968,69.139357313,0.0833333,69.139357313,0.0833333,8.315,0.289,0.0,8.315008,0.2886751,0.0,22.8272,27.0,9.27,28.804,0.965,0.008,3.0
141,141,3_8,3_5,676.1755,27.35811,18.6956,0.0439,195.1563,16.0,16.0,1515.0,0.0,1514.2003,0.0,1514.2003,0.0,192.40609151844325,27.94464800274568,4.418,0.289,0.0,0.37274,0.02313,0.0,1514.2003,0.0,192.40609151844325,27.94464800274568,19.521233422,0.0833333,19.521233422,0.0833333,4.418,0.289,0.0,4.418284,0.2886751,0.0,22.8033,26.0,6.74,15.305,0.935,0.108,3.0
