col1_1,Unnamed: 0_1,NUMBER_1,ID_PARENT_1,FLUX_ISO_1,FLUXERR_ISO_1,MAG_ISO_1,MAGERR_ISO_1,BACKGROUND_1,ISOAREA_IMAGE_1,ISOAREAF_IMAGE_1,XPEAK_IMAGE_1,YPEAK_IMAGE_1,X_IMAGE_1,Y_IMAGE_1,X_IMAGE_DBL_1,Y_IMAGE_DBL_1,X_WORLD_1,Y_WORLD_1,A_IMAGE_1,B_IMAGE_1,THETA_IMAGE_1,ERRA_IMAGE_1,ERRB_IMAGE_1,ERRTHETA_IMAGE_1,XWIN_IMAGE_1,YWIN_IMAGE_1,XWIN_WORLD_1,YWIN_WORLD_1,X2WIN_IMAGE_1,Y2WIN_IMAGE_1,X2WIN_WORLD_1,Y2WIN_WORLD_1,AWIN_IMAGE_1,BWIN_IMAGE_1,THETAWIN_IMAGE_1,AWIN_WORLD_1,BWIN_WORLD_1,THETAWIN_WORLD_1,MU_THRESHOLD_1,FLAGS_1,FWHM_IMAGE_1,ELONGATION_1,ELLIPTICITY_1,CLASS_STAR_1,SUBDIV_NUMBER_1,col1_2,Unnamed: 0_2,NUMBER_2,ID_PARENT_2,FLUX_ISO_2,FLUXERR_ISO_2,MAG_ISO_2,MAGERR_ISO_2,BACKGROUND_2,ISOAREA_IMAGE_2,ISOAREAF_IMAGE_2,XPEAK_IMAGE_2,YPEAK_IMAGE_2,X_IMAGE_2,Y_IMAGE_2,X_IMAGE_DBL_2,Y_IMAGE_DBL_2,X_WORLD_2,Y_WORLD_2,A_IMAGE_2,B_IMAGE_2,THETA_IMAGE_2,ERRA_IMAGE_2,ERRB_IMAGE_2,ERRTHETA_IMAGE_2,XWIN_IMAGE_2,YWIN_IMAGE_2,XWIN_WORLD_2,YWIN_WORLD_2,X2WIN_IMAGE_2,Y2WIN_IMAGE_2,X2WIN_WORLD_2,Y2WIN_WORLD_2,AWIN_IMAGE_2,BWIN_IMAGE_2,THETAWIN_IMAGE_2,AWIN_WORLD_2,BWIN_WORLD_2,THETAWIN_WORLD_2,MU_THRESHOLD_2,FLAGS_2,FWHM_IMAGE_2,ELONGATION_2,ELLIPTICITY_2,CLASS_STAR_2,SUBDIV_NUMBER_2,Separation
4409,4409,12_228,12_452,302585.0,222.7198,12.0686,8.0E-4,-6.135993E-5,9.0,9.0,3016.0,851.0,3016.2257,850.9168999999999,3016.2257,850.9168999999999,191.9375423379905,27.69219080815258,0.498,0.47,29.11,3.7E-4,3.5E-4,29.11,3016.2257,850.9168999999999,191.9375423379905,27.69219080815258,0.17710562588,0.14719654228,0.17710562588,0.14719654228,0.421,0.384,3.58,0.4209786,0.383509,3.58,37.8653,4.0,0.0,1.059,0.056,1.0,12.0,588,588,12_14,12_32,306925.2,247.5322,12.0532,9.0E-4,195.4487,231.0,244.0,3016.0,851.0,3016.1941,851.0125,3016.1941,851.0125,191.9375533734772,27.692164253857577,2.03,1.916,85.82,0.00222,0.00192,88.17,3016.1941,851.0125,191.9375533734772,27.692164253857577,1.1851223271,1.156607382,1.1851223271,1.156607382,1.089,1.075,8.89,1.088961,1.075124,8.89,22.7465,24.0,3.32,1.06,0.057,0.987,12.0,0.10068723851614542
4412,4412,12_231,12_449,15243.51,49.98935,15.313,0.0036,2.305126E-5,8.0,8.0,2676.0,851.0,2676.1222,850.79,2676.1222,850.79,192.0454499318557,27.695415409048344,0.467,0.411,41.66,0.00153,0.00135,41.66,2676.1222,850.79,192.0454499318557,27.695415409048344,0.10829642734,0.1135283888,0.10829642734,0.1135283888,0.337,0.329,85.22,0.3369943,0.3290283,85.22,39.8618,0.0,0.97,1.138,0.121,1.0,12.0,590,590,12_16,12_30,14730.56,77.89867,15.3502,0.0057,195.3787,83.0,91.0,2676.0,851.0,2676.1653,850.8770999999999,2676.1653,850.8770999999999,192.04543715446448,27.69539054214468,1.79,1.719,49.74,0.01298,0.01215,57.27,2676.1653,850.8770999999999,192.04543715446448,27.69539054214468,1.1667125776,1.1129591482,1.1667125776,1.1129591482,1.084,1.051,20.68,1.084269,1.050729,20.68,22.7935,0.0,3.3,1.041,0.04,0.982,12.0,0.09718034780767926
4455,4455,12_274,12_406,1527.047,15.822,17.8111,0.0113,3.452449E-5,36.0,36.0,2619.0,807.0,2619.3757,806.6275,2619.3757,806.6275,192.0629998052612,27.708344844386133,1.525,1.046,56.18,0.0158,0.01084,56.18,2619.3757,806.6275,192.0629998052612,27.708344844386133,0.78684081436,0.85579965666,0.78684081436,0.85579965666,0.964,0.844,54.24,0.9644127,0.844126,54.24,99.0,0.0,3.73,1.458,0.314,1.0,12.0,591,591,12_17,12_29,1391.194,45.25317,17.9123,0.0353,194.9101,38.0,45.0,2619.0,807.0,2619.3819,806.7167,2619.3819,806.7167,192.0629987522662,27.708319728633946,1.798,1.577,45.52,0.06902,0.06044,44.38,2619.3819,806.7167,192.0629987522662,27.708319728633946,2.2517654494,2.3454981436,2.2517654494,2.3454981436,1.571,1.46,53.1,1.570576,1.459642,53.1,22.7541,0.0,5.92,1.14,0.123,0.045,12.0,0.089415211233762
4466,4466,12_285,12_395,756.552,11.13665,18.5736,0.016,-6.379752E-6,18.0,18.0,2834.0,799.0,2834.8443,799.5829,2834.8443,799.5829,191.9945609550305,27.70832394397445,1.231,0.709,13.17,0.01812,0.01044,13.17,2834.8443,799.5829,191.9945609550305,27.70832394397445,0.49390728794,0.3328605172,0.49390728794,0.3328605172,0.725,0.549,22.01,0.7248213,0.5490009,22.01,41.7307,0.0,3.6,1.737,0.424,1.0,12.0,592,592,12_18,12_28,518.7477,29.62063,18.9833,0.062,195.6362,18.0,20.0,2834.0,799.0,2834.7846,799.6786999999999,2834.7846,799.6786999999999,191.99458089614708,27.708297591449615,1.254,1.111,36.31,0.08293,0.0746,41.18,2834.7846,799.6786999999999,191.99458089614708,27.708297591449615,2.1146334697,1.7515098798,2.1146334697,1.7515098798,1.458,1.32,9.25,1.457577,1.319702,9.25,22.8326,0.0,4.51,1.129,0.114,0.053,12.0,0.1128792717907861
4472,4472,12_291,12_389,1822.326,17.28415,17.6192,0.0103,0.003989068,9.0,9.0,2609.0,796.0,2608.6839,796.4556,2608.6839,796.4556,192.06628783830968,27.711300671968896,0.534,0.51,32.86,0.00507,0.00484,32.85,2608.6839,796.4556,192.06628783830968,27.711300671968896,0.1665525502,0.24407878524,0.1665525502,0.24407878524,0.494,0.408,87.0,0.4942599,0.4078462,87.0,99.0,0.0,1.07,1.048,0.045,1.0,12.0,593,593,12_19,12_27,1519.129,39.34717,17.8167,0.0281,196.2283,27.0,32.0,2609.0,797.0,2608.6013,796.4829,2608.6013,796.4829,192.06631432502556,27.711293761414204,1.355,1.332,-3.02,0.04104,0.04088,-6.12,2608.6013,796.4829,192.06631432502556,27.711293761414204,1.0520845468,1.0040182433,1.0520845468,1.0040182433,1.027,1.001,12.89,1.027006,1.000681,12.89,22.841,0.0,3.5,1.017,0.017,0.79,12.0,0.08699454005872255
4483,4483,12_302,12_378,312.3877,7.156192,19.534,0.0249,4.825463E-6,7.0,7.0,2743.0,786.0,2742.6678,786.1721,2742.6678,786.1721,192.02367022097832,27.71295149199462,0.616,0.548,58.28,0.01411,0.01256,58.29,2742.6678,786.1721,192.02367022097832,27.71295149199462,0.22016891876,0.19299911392,0.22016891876,0.19299911392,0.475,0.433,22.72,0.4753386,0.4326907,22.72,47.0938,0.0,1.49,1.123,0.11,1.0,12.0,594,594,12_20,12_26,125.5776,14.78509,20.5235,0.1279,195.257,5.0,5.0,2743.0,786.0,2742.7834,786.3896,2742.7834,786.3896,192.0236357903321,27.712889317187923,0.745,0.452,-18.07,0.12277,0.07115,-18.39,2742.7834,786.3896,192.0236357903321,27.712889317187923,0.84160187025,0.83210518176,0.84160187025,0.83210518176,0.931,0.899,40.37,0.9308003,0.8985087,40.37,22.797,0.0,3.41,1.649,0.394,0.499,12.0,0.24631201757101265
4527,4527,12_346,12_334,2692.116,21.00787,17.1955,0.0085,3.210522E-4,6.0,6.0,2550.0,747.0,2550.2797,747.4252,2550.2797,747.4252,192.08431798708529,27.725609873210026,0.494,0.487,86.28,0.00386,0.0038,86.28,2550.2797,747.4252,192.08431798708529,27.725609873210026,0.13415076297,0.21930738199,0.13415076297,0.21930738199,0.468,0.366,-89.64,0.4683062,0.3662614,-89.64,99.0,0.0,1.0,1.016,0.016,1.0,12.0,596,596,12_22,12_24,2317.07,43.96404,17.3584,0.0206,195.9645,33.0,38.0,2550.0,747.0,2550.2217,747.4989,2550.2217,747.4989,192.08433714296572,27.725589699039748,1.433,1.37,6.94,0.03396,0.03163,2.23,2550.2217,747.4989,192.08433714296572,27.725589699039748,1.0049948726,0.96993710455,1.0049948726,0.96993710455,1.003,0.985,-3.29,1.002552,0.9847947,-3.29,22.8125,0.0,3.26,1.046,0.044,0.966,12.0,0.09378534000580094
4540,4540,12_359,12_321,523.8091,9.266625,18.9728,0.0192,7.498636E-6,8.0,8.0,2659.0,735.0,2658.4378,735.3172999999999,2658.4378,735.3172999999999,192.0498732601014,27.728017838413496,0.67,0.561,-39.42,0.01186,0.00992,-39.42,2658.4378,735.3172999999999,192.0498732601014,27.728017838413496,0.26469487377,0.25236568434,0.26469487377,0.25236568434,0.538,0.477,-39.18,0.5376779,0.4774547,-39.18,50.9175,0.0,1.7,1.196,0.164,1.0,12.0,597,597,12_23,12_23,356.3282,24.10839,19.3911,0.0735,195.043,13.0,13.0,2659.0,735.0,2658.5807,735.3562,2658.5807,735.3562,192.04982831376503,27.728005591709525,1.022,0.883,-46.5,0.08688,0.07418,-45.08,2658.5807,735.3562,192.04982831376503,27.728005591709525,0.98150085411,1.0086029307,0.98150085411,1.0086029307,1.023,0.971,-52.66,1.022897,0.9714864,-52.66,22.7666,0.0,4.79,1.157,0.136,0.093,12.0,0.14810003376080463
4551,4551,12_370,12_310,1145.841,13.70558,18.1229,0.013,2.136884E-6,20.0,20.0,2624.0,718.0,2624.0457,717.9638,2624.0457,717.9638,192.0606087755213,27.733209769015293,0.897,0.745,-70.09,0.01073,0.00891,-70.09,2624.0457,717.9638,192.0606087755213,27.733209769015293,0.29174005751,0.32146144411,0.29174005751,0.32146144411,0.567,0.54,86.78,0.5670589,0.5400423,86.78,51.3486,2.0,1.66,1.204,0.169,1.0,12.0,598,598,12_24,12_22,933.6804,37.33435,18.3452,0.0434,196.0574,23.0,31.0,2624.0,718.0,2624.1555,717.9608000000001,2624.1555,717.9608000000001,192.06057390088085,27.733209601405218,1.479,1.32,-64.15,0.06867,0.05858,-67.66,2624.1555,717.9608000000001,192.06057390088085,27.733209601405218,1.7729739825,1.7673858488,1.7729739825,1.7673858488,1.343,1.318,-42.62,1.343096,1.317746,-42.62,22.8316,0.0,4.12,1.121,0.108,0.331,12.0,0.10984097596042516
4554,4554,12_373,12_308,519.2618,9.226315,18.9823,0.0193,-2.764912E-5,19.0,19.0,2985.0,719.0,2983.2521,718.8992000000001,2983.2521,718.8992000000001,191.94661619411949,27.729589205551548,1.582,0.68,7.06,0.02811,0.01208,7.06,2983.2521,718.8992000000001,191.94661619411949,27.729589205551548,1.371098996,0.39236067389,1.371098996,0.39236067389,1.173,0.622,4.25,1.173255,0.6220391,4.25,34.551,0.0,6.19,2.327,0.57,1.0,12.0,599,599,12_25,12_21,277.8674,24.24037,19.6611,0.0947,195.2935,13.0,14.0,2983.0,719.0,2983.1471,718.9403,2983.1471,718.9403,191.94664995644703,27.72957865720517,1.335,0.765,7.91,0.13355,0.07707,7.21,2983.1471,718.9403,191.94664995644703,27.72957865720517,2.4529256233,1.8098616563,2.4529256233,1.8098616563,1.567,1.344,4.01,1.567194,1.344132,4.01,22.8243,0.0,6.03,1.744,0.427,0.02,12.0,0.11275730574999042
