col1_1,Unnamed: 0_1,NUMBER_1,ID_PARENT_1,FLUX_ISO_1,FLUXERR_ISO_1,MAG_ISO_1,MAGERR_ISO_1,BACKGROUND_1,ISOAREA_IMAGE_1,ISOAREAF_IMAGE_1,XPEAK_IMAGE_1,YPEAK_IMAGE_1,X_IMAGE_1,Y_IMAGE_1,X_IMAGE_DBL_1,Y_IMAGE_DBL_1,X_WORLD_1,Y_WORLD_1,A_IMAGE_1,B_IMAGE_1,THETA_IMAGE_1,ERRA_IMAGE_1,ERRB_IMAGE_1,ERRTHETA_IMAGE_1,XWIN_IMAGE_1,YWIN_IMAGE_1,XWIN_WORLD_1,YWIN_WORLD_1,X2WIN_IMAGE_1,Y2WIN_IMAGE_1,X2WIN_WORLD_1,Y2WIN_WORLD_1,AWIN_IMAGE_1,BWIN_IMAGE_1,THETAWIN_IMAGE_1,AWIN_WORLD_1,BWIN_WORLD_1,THETAWIN_WORLD_1,MU_THRESHOLD_1,FLAGS_1,FWHM_IMAGE_1,ELONGATION_1,ELLIPTICITY_1,CLASS_STAR_1,SUBDIV_NUMBER_1,col1_2,Unnamed: 0_2,NUMBER_2,ID_PARENT_2,FLUX_ISO_2,FLUXERR_ISO_2,MAG_ISO_2,MAGERR_ISO_2,BACKGROUND_2,ISOAREA_IMAGE_2,ISOAREAF_IMAGE_2,XPEAK_IMAGE_2,YPEAK_IMAGE_2,X_IMAGE_2,Y_IMAGE_2,X_IMAGE_DBL_2,Y_IMAGE_DBL_2,X_WORLD_2,Y_WORLD_2,A_IMAGE_2,B_IMAGE_2,THETA_IMAGE_2,ERRA_IMAGE_2,ERRB_IMAGE_2,ERRTHETA_IMAGE_2,XWIN_IMAGE_2,YWIN_IMAGE_2,XWIN_WORLD_2,YWIN_WORLD_2,X2WIN_IMAGE_2,Y2WIN_IMAGE_2,X2WIN_WORLD_2,Y2WIN_WORLD_2,AWIN_IMAGE_2,BWIN_IMAGE_2,THETAWIN_IMAGE_2,AWIN_WORLD_2,BWIN_WORLD_2,THETAWIN_WORLD_2,MU_THRESHOLD_2,FLAGS_2,FWHM_IMAGE_2,ELONGATION_2,ELLIPTICITY_2,CLASS_STAR_2,SUBDIV_NUMBER_2,GroupID,GroupSize,Separation
0,0,0_1,0_22,418.1306,8.212212,19.8523,0.0213,1.200717E-4,15.0,15.0,391.0,13.0,391.507,13.0856,391.507,13.0856,142.4821060089134,27.98237309877853,1.052,0.559,-10.0,0.02774,0.0153,0.6,391.507,13.0856,142.4821060089134,27.98237309877853,0.3533998498,0.14235202264,0.3533998498,0.14235202264,0.608,0.356,-14.78,0.607617,0.3557435,-14.78,99.0,0.0,2.02,1.883,0.469,1.0,0.0,74,74,0_75,0_3,255.5781,21.45314,20.3868,0.0912,187.8731,9.0,9.0,391.0,13.0,391.3319,13.1325,391.3319,13.1325,142.48216194448366,27.982360440475347,0.922,0.681,-21.15,0.09443,0.06809,-20.38,391.3319,13.1325,142.48216194448366,27.982360440475347,1.2074465754,1.139319147,1.2074465754,1.139319147,1.118,1.047,-31.85,1.118154,1.047137,-31.85,23.3518,0.0,3.01,1.354,0.262,0.141,0.0,,,0.1812722262234214
3,3,0_4,0_7,1691.683,16.51824,18.3348,0.0106,-2.02811E-4,5.0,5.0,179.0,7.0,178.9682,6.6792,178.9682,6.6792,142.5497863152518,27.9847922348179,0.468,0.345,84.6,0.00462,0.00351,82.8,178.9682,6.6792,142.5497863152518,27.9847922348179,0.097853274888,0.13625742978,0.097853274888,0.13625742978,0.369,0.313,89.73,0.3691318,0.3128137,89.73,99.0,0.0,1.03,1.358,0.263,1.0,0.0,2,2,0_3,0_2,1596.335,39.04951,18.3978,0.0266,187.3506,23.0,27.0,179.0,7.0,178.9503,7.1557,178.9503,7.1557,142.54979360458918,27.984658337073807,1.309,1.112,-82.71,0.04146,0.03313,-79.5,178.9503,7.1557,142.54979360458918,27.984658337073807,0.58169886166,0.63113462889,0.58169886166,0.63113462889,0.799,0.758,69.76,0.7993202,0.7575756,69.76,23.3472,16.0,2.67,1.177,0.15,0.924,0.0,,,0.4768360934325342
8,8,0_9,0_1,396.8621,8.000626,19.909,0.0219,1.011662E-4,3.0,3.0,331.0,1.0,330.8967,1.0,330.8967,1.0,142.50136991145115,27.985950721831752,0.757,0.289,0.0,0.01573,0.00595,0.0,330.8967,1.0,142.50136991145115,27.985950721831752,0.20023563606,0.0833333,0.20023563606,0.0833333,0.447,0.289,0.0,0.447477,0.2886751,0.0,99.0,16.0,1.85,2.622,0.619,1.0,0.0,3,3,0_4,0_1,909.6412,30.51472,19.0084,0.0364,187.7151,15.0,17.0,331.0,0.0,330.7286,0.6888000000000001,330.7286,0.6888000000000001,142.50142238366098,27.98603869681129,1.407,0.717,2.3,0.06725,0.03412,3.7,330.7286,0.6888000000000001,142.50142238366098,27.98603869681129,0.85381088493,0.31161497272,0.85381088493,0.31161497272,0.924,0.558,-0.04,0.924019,0.5582246,-0.04,23.3567,24.0,3.57,1.964,0.491,0.964,0.0,,,0.35369909527734555
53,53,0_54,0_1012,6670.44,32.80057,16.8452,0.0053,0.001031234,3.0,3.0,3.0,474.0,2.9936,474.4351,2.9936,474.4351,142.60732156045367,27.853765747722623,0.574,0.299,89.34,0.00282,0.00148,89.24,2.9936,474.4351,142.60732156045367,27.853765747722623,0.084570556272,0.22474496263,0.084570556272,0.22474496263,0.474,0.291,89.91,0.4740731,0.2908096,89.91,99.0,16.0,0.99,1.916,0.478,1.0,0.0,75,75,0_76,0_74,6279.243,54.84447,16.9108,0.0095,187.6721,34.0,39.0,3.0,474.0,2.6468,474.767,2.6468,474.767,142.60743296096072,27.85367334124605,1.387,1.08,-88.08,0.01658,0.01213,-86.32,2.6468,474.767,142.60743296096072,27.85367334124605,0.39841347211,0.51680118948,0.39841347211,0.51680118948,0.72,0.63,83.71,0.7198994,0.6300473,83.71,23.3023,24.0,2.42,1.284,0.221,0.983,0.0,,,0.48002900954006145
64,64,0_65,0_1001,2600.469,20.48,17.8679,0.0086,5.501021E-4,6.0,6.0,42.0,470.0,42.0495,469.6696,42.0495,469.6696,142.59487720325032,27.855001852765337,0.472,0.321,83.13,0.00375,0.00264,82.74,42.0495,469.6696,142.59487720325032,27.855001852765337,0.096432188667,0.14347152813,0.096432188667,0.14347152813,0.379,0.311,89.47,0.3787817,0.3105288,89.47,99.0,0.0,0.98,1.471,0.32,1.0,0.0,4,4,0_5,0_73,2419.293,45.28973,17.9464,0.0203,188.2249,30.0,34.0,42.0,470.0,42.1189,470.0361,42.1189,470.0361,142.5948562666144,27.854898616901483,1.335,1.19,61.61,0.03239,0.02801,54.61,42.1189,470.0361,142.5948562666144,27.854898616901483,0.53477972894,0.57845046458,0.53477972894,0.57845046458,0.766,0.725,67.73,0.7663212,0.7252462,67.73,23.363,0.0,2.49,1.122,0.109,0.908,0.0,,,0.3730128818150653
112,112,0_113,0_953,866.824,11.82414,19.0607,0.0148,5.737982E-5,7.0,7.0,282.0,437.0,282.2948,436.7453,282.2948,436.7453,142.51831918847597,27.86358924983192,0.581,0.404,-55.35,0.00929,0.00576,-58.71,282.2948,436.7453,142.51831918847597,27.86358924983192,0.15771586637,0.12915838529,0.15771586637,0.12915838529,0.398,0.358,-8.6,0.3979758,0.3584544,-8.6,99.0,0.0,0.71,1.439,0.305,1.0,0.0,6,6,0_7,0_71,712.4085,30.05495,19.2738,0.0458,187.5044,14.0,17.0,282.0,437.0,282.3545,436.9972,282.3545,436.9972,142.51830103099743,27.86351825136465,1.107,0.919,-75.7,0.05828,0.04574,-75.6,282.3545,436.9972,142.51830103099743,27.86351825136465,0.59353016667,0.64950562018,0.59353016667,0.64950562018,0.813,0.763,-67.99,0.8126768,0.7632772,-67.99,23.3465,0.0,2.34,1.204,0.17,0.94,0.0,,,0.25887777038597415
120,120,0_121,0_945,646.774,10.21364,19.3787,0.0171,6.156097E-4,4.0,4.0,276.0,434.0,276.4991,433.7244,276.4991,433.7244,142.52015335931992,27.86445539545489,0.509,0.436,-21.53,0.00819,0.00709,-22.1,276.4991,433.7244,142.52015335931992,27.86445539545489,0.24693876893,0.10590867039,0.24693876893,0.10590867039,0.498,0.324,-5.03,0.4980354,0.3237409,-5.03,99.0,0.0,0.94,1.167,0.143,1.0,0.0,7,7,0_8,0_70,519.804,27.10692,19.616,0.0566,187.4177,11.0,14.0,276.0,434.0,276.5028,433.7666,276.5028,433.7666,142.52015232238242,27.86444351959248,0.945,0.925,2.37,0.06095,0.05974,0.39,276.5028,433.7666,142.52015232238242,27.86444351959248,0.50021233871,0.50540450096,0.50021233871,0.50540450096,0.712,0.706,-61.56,0.7124317,0.7057322,-61.56,23.3391,0.0,2.48,1.021,0.021,0.85,0.0,,,0.04236189325323118
132,132,0_133,0_933,786.1226,11.26028,19.1668,0.0156,-1.217282E-5,9.0,9.0,73.0,428.0,72.5052,428.1573,72.5052,428.1573,142.5850536753288,27.8665919132773,1.066,0.324,-18.5,0.01702,0.00516,-19.28,72.5052,428.1573,142.5850536753288,27.8665919132773,0.15645087407,0.1011702281,0.15645087407,0.1011702281,0.396,0.318,0.62,0.3955468,0.3180626,0.62,99.0,0.0,-1.39,3.285,0.696,1.0,0.0,8,8,0_9,0_69,611.0221,28.56383,19.4404,0.0508,187.1843,14.0,15.0,73.0,428.0,72.6793,428.2952,72.6793,428.2952,142.58499870153847,27.866552668941765,1.005,0.934,41.63,0.05955,0.05261,45.24,72.6793,428.2952,142.58499870153847,27.866552668941765,0.68538396323,0.66218447622,0.68538396323,0.66218447622,0.828,0.813,11.26,0.8284577,0.8131583,11.26,23.3146,0.0,2.48,1.076,0.07,0.7,0.0,,,0.22209732101040533
133,133,0_134,0_932,1130.976,13.50613,18.7719,0.013,-8.972624E-6,24.0,24.0,47.0,427.0,46.9209,426.8459,46.9209,426.8459,142.59319231216702,27.867029578376957,1.235,1.056,19.29,0.0168,0.0143,13.03,46.9209,426.8459,142.59319231216702,27.867029578376957,0.42418511458,0.49705002289,0.42418511458,0.49705002289,0.72,0.634,64.29,0.7204451,0.6341876,64.29,99.0,0.0,3.62,1.169,0.145,0.997,0.0,9,9,0_10,0_68,993.0733,37.10799,18.9131,0.0406,187.4589,25.0,25.0,47.0,427.0,46.9261,427.015,46.9261,427.015,142.59319118911188,27.866982018840964,1.339,1.216,29.86,0.06004,0.05322,21.32,46.9261,427.015,142.59319118911188,27.866982018840964,1.2244905794,1.2785404482,1.2244905794,1.2785404482,1.142,1.095,60.58,1.141819,1.095117,60.58,23.3184,0.0,4.4,1.101,0.092,0.024,0.0,,,0.16917993379832266
152,152,0_153,0_913,1120.527,13.44359,18.782,0.013,1.865141E-4,6.0,6.0,340.0,420.0,340.1229,420.259,340.1229,420.259,142.49986268180228,27.8680556253785,0.438,0.351,-86.74,0.0054,0.00458,-85.04,340.1229,420.259,142.49986268180228,27.8680556253785,0.0983714739,0.11915034298,0.0983714739,0.11915034298,0.345,0.314,-89.67,0.3451826,0.3136412,-89.67,99.0,0.0,0.92,1.248,0.199,1.0,0.0,10,10,0_11,0_67,946.9819,31.89951,18.9647,0.0366,187.8996,16.0,19.0,340.0,420.0,340.1134,420.4096,340.1134,420.4096,142.49986621377124,27.86801331035081,1.078,1.001,-67.09,0.04686,0.04217,-58.9,340.1134,420.4096,142.49986621377124,27.86801331035081,0.51307525271,0.58981536732,0.51307525271,0.58981536732,0.768,0.716,87.43,0.7680953,0.7161844,87.43,23.3725,0.0,2.2,1.077,0.072,0.934,0.0,,,0.1508993373080187
185,185,0_186,0_880,455.1657,8.568187,19.7601,0.0204,-3.558684E-4,5.0,5.0,20.0,405.0,20.098,405.0962,20.098,405.0962,142.60166154620111,27.873216504036037,0.375,0.349,-43.32,0.00772,0.00731,-43.16,20.098,405.0962,142.60166154620111,27.873216504036037,0.095423061665,0.095289259138,0.095423061665,0.095289259138,0.309,0.309,-22.96,0.3089536,0.3086422,-22.96,99.0,0.0,0.0,1.075,0.069,1.0,0.0,11,11,0_12,0_66,351.6564,23.49757,20.0403,0.0726,187.9156,8.0,10.0,20.0,405.0,20.0358,405.1744,20.0358,405.1744,142.60168158921954,27.87319468211191,0.89,0.737,-87.26,0.07492,0.05949,-89.68,20.0358,405.1744,142.60168158921954,27.87319468211191,0.40124223877,0.45618058178,0.40124223877,0.45618058178,0.678,0.631,-77.14,0.6776422,0.6310498,-77.14,23.3313,0.0,2.38,1.207,0.172,0.699,0.0,,,0.09992036829394266
231,231,0_232,0_834,657706.8,325.7019,11.8605,5.0E-4,0.00253678,15.0,15.0,360.0,385.0,360.8623,386.3013,360.8623,386.3013,142.49314793701953,27.87754185456215,1.31,0.898,81.64,6.5E-4,4.4E-4,81.64,360.8623,386.3013,142.49314793701953,27.87754185456215,0.76457396622,1.3441260621,0.76457396622,1.3441260621,1.189,0.834,72.0,1.188515,0.8343455,72.0,99.0,4.0,0.97,1.458,0.314,1.0,0.0,12,12,0_13,0_65,677549.1,353.6128,11.8282,6.0E-4,188.0785,317.0,342.0,361.0,387.0,360.9497,386.6743,360.9497,386.6743,142.4931213924979,27.877436723598358,2.114,1.79,77.63,0.00144,0.00129,72.67,360.9497,386.6743,142.4931213924979,27.877436723598358,1.1951398167,1.6517434282,1.1951398167,1.6517434282,1.294,1.083,77.66,1.294097,1.08268,77.66,23.3773,4.0,11.66,1.181,0.153,1.0,0.0,,,0.3831028060455748
254,254,0_255,0_811,3271.727,22.97167,17.6186,0.0076,1.438034E-5,4.0,4.0,270.0,383.0,269.6595,382.8379,269.6595,382.8379,142.52216054633033,27.878782504356717,0.475,0.367,6.92,0.00335,0.0026,7.22,269.6595,382.8379,142.52216054633033,27.878782504356717,0.17088102209,0.11115060291,0.17088102209,0.11115060291,0.413,0.333,0.92,0.4133964,0.3333693,0.92,99.0,0.0,0.88,1.296,0.228,1.0,0.0,14,14,0_15,0_63,3031.303,45.17818,17.7015,0.0162,187.692,30.0,33.0,270.0,383.0,269.6711,383.192,269.6711,383.192,142.52215803351513,27.87868291250115,1.305,1.194,65.63,0.02464,0.02311,59.24,269.6711,383.192,142.52215803351513,27.87868291250115,0.5690348437,0.5956152072,0.5690348437,0.5956152072,0.78,0.746,60.71,0.7796248,0.7462139,60.71,23.3463,0.0,2.42,1.093,0.085,0.979,0.0,,,0.35428995187559703
