col1_1,Unnamed: 0_1,NUMBER_1,ID_PARENT_1,FLUX_ISO_1,FLUXERR_ISO_1,MAG_ISO_1,MAGERR_ISO_1,BACKGROUND_1,ISOAREA_IMAGE_1,ISOAREAF_IMAGE_1,XPEAK_IMAGE_1,YPEAK_IMAGE_1,X_IMAGE_1,Y_IMAGE_1,X_IMAGE_DBL_1,Y_IMAGE_DBL_1,X_WORLD_1,Y_WORLD_1,A_IMAGE_1,B_IMAGE_1,THETA_IMAGE_1,ERRA_IMAGE_1,ERRB_IMAGE_1,ERRTHETA_IMAGE_1,XWIN_IMAGE_1,YWIN_IMAGE_1,XWIN_WORLD_1,YWIN_WORLD_1,X2WIN_IMAGE_1,Y2WIN_IMAGE_1,X2WIN_WORLD_1,Y2WIN_WORLD_1,AWIN_IMAGE_1,BWIN_IMAGE_1,THETAWIN_IMAGE_1,AWIN_WORLD_1,BWIN_WORLD_1,THETAWIN_WORLD_1,MU_THRESHOLD_1,FLAGS_1,FWHM_IMAGE_1,ELONGATION_1,ELLIPTICITY_1,CLASS_STAR_1,SUBDIV_NUMBER_1,col1_2,Unnamed: 0_2,NUMBER_2,ID_PARENT_2,FLUX_ISO_2,FLUXERR_ISO_2,MAG_ISO_2,MAGERR_ISO_2,BACKGROUND_2,ISOAREA_IMAGE_2,ISOAREAF_IMAGE_2,XPEAK_IMAGE_2,YPEAK_IMAGE_2,X_IMAGE_2,Y_IMAGE_2,X_IMAGE_DBL_2,Y_IMAGE_DBL_2,X_WORLD_2,Y_WORLD_2,A_IMAGE_2,B_IMAGE_2,THETA_IMAGE_2,ERRA_IMAGE_2,ERRB_IMAGE_2,ERRTHETA_IMAGE_2,XWIN_IMAGE_2,YWIN_IMAGE_2,XWIN_WORLD_2,YWIN_WORLD_2,X2WIN_IMAGE_2,Y2WIN_IMAGE_2,X2WIN_WORLD_2,Y2WIN_WORLD_2,AWIN_IMAGE_2,BWIN_IMAGE_2,THETAWIN_IMAGE_2,AWIN_WORLD_2,BWIN_WORLD_2,THETAWIN_WORLD_2,MU_THRESHOLD_2,FLAGS_2,FWHM_IMAGE_2,ELONGATION_2,ELLIPTICITY_2,CLASS_STAR_2,SUBDIV_NUMBER_2,GroupID,GroupSize,Separation
259,259,0_260,0_806,308.5218,7.054189,20.1824,0.0248,0.006330577,4.0,4.0,382.0,380.0,381.671,379.8273,381.671,379.8273,142.4865039545336,27.879300169019157,0.471,0.376,7.28,0.01134,0.00939,11.1,381.671,379.8273,142.4865039545336,27.879300169019157,0.16812299531,0.11485034806,0.16812299531,0.11485034806,0.41,0.339,1.01,0.410048,0.3388716,1.01,99.0,0.0,0.89,1.252,0.202,1.0,0.0,15,15,0_16,0_62,204.9466,18.84225,20.6265,0.0998,189.1634,6.0,7.0,382.0,380.0,381.6941,379.958,381.6941,379.958,142.48649705022427,27.879263352972263,0.724,0.661,87.03,0.08588,0.07935,89.23,381.6941,379.958,142.48649705022427,27.879263352972263,0.41886806267,0.46578572143,0.41886806267,0.46578572143,0.683,0.647,83.53,0.6829321,0.6467283,83.53,23.4493,0.0,2.23,1.096,0.087,0.626,0.0,,,0.13272565690179233
293,293,0_294,0_772,2241.004,19.0119,18.0295,0.0092,-0.03474949,5.0,5.0,370.0,370.0,370.3509,369.8622,370.3509,369.8622,142.49007236309993,27.882135633654507,0.483,0.391,15.46,0.00415,0.00339,17.04,370.3509,369.8622,142.49007236309993,27.882135633654507,0.18166282166,0.11734692046,0.18166282166,0.11734692046,0.426,0.343,1.37,0.4262621,0.342506,1.37,30.0799,0.0,0.91,1.234,0.19,0.988,0.0,17,17,0_18,0_60,2102.468,43.77372,18.0987,0.0226,189.3613,31.0,34.0,370.0,370.0,370.4303,370.2726,370.4303,370.2726,142.4900484947299,27.88202001139125,1.338,1.25,71.17,0.03453,0.03359,75.89,370.4303,370.2726,142.4900484947299,27.88202001139125,0.56877476862,0.61980020249,0.56877476862,0.61980020249,0.797,0.744,64.54,0.7967169,0.744189,64.54,23.4582,0.0,2.77,1.07,0.065,0.904,0.0,,,0.418010191263354
315,315,0_316,0_750,731.2841,10.86044,19.2454,0.0161,2.264665E-7,6.0,6.0,319.0,357.0,319.3624,356.995,319.3624,356.995,142.50625575987334,27.885903843644304,0.511,0.184,2.36,0.00796,0.0036,3.7,319.3624,356.995,142.50625575987334,27.885903843644304,0.17512786877,0.088223771415,0.17512786877,0.088223771415,0.418,0.297,0.28,0.4184853,0.2970214,0.28,99.0,0.0,1.1,2.783,0.641,1.0,0.0,19,19,0_20,0_58,588.4626,27.4941,19.4813,0.0507,187.5061,11.0,14.0,319.0,357.0,319.4221,357.1997,319.4221,357.1997,142.5062374500965,27.88584611633721,0.943,0.917,14.48,0.05424,0.05307,9.07,319.4221,357.1997,142.5062374500965,27.88584611633721,0.56329557406,0.55182464773,0.56329557406,0.55182464773,0.751,0.743,6.47,0.7506298,0.7427483,6.47,23.327,0.0,2.28,1.028,0.027,0.911,0.0,,,0.2132280000375268
317,317,0_318,0_748,5596.339,30.04389,17.0358,0.0058,-0.001161399,5.0,5.0,1.0,357.0,0.6476999999999999,356.8547,0.6476999999999999,356.8547,142.60770239393935,27.886831782826377,0.478,0.376,4.19,0.00258,0.00204,4.73,0.6476999999999999,356.8547,142.60770239393935,27.886831782826377,0.17835069649,0.11227014749,0.17835069649,0.11227014749,0.422,0.335,0.39,0.4223195,0.3350628,0.39,99.0,24.0,0.94,1.272,0.214,1.0,0.0,18,18,0_19,0_59,7584.688,61.0727,16.7057,0.0087,187.7637,45.0,50.0,0.0,357.0,0.9267,356.982,0.9267,356.982,142.6076139719897,27.886795254490693,1.78,1.015,89.46,0.0244,0.01335,-87.1,0.9267,356.982,142.6076139719897,27.886795254490693,0.27496721916,0.64467693851,0.27496721916,0.64467693851,0.806,0.52,83.37,0.8060634,0.5195248,83.37,23.3123,24.0,8.04,1.753,0.43,0.981,0.0,,,0.30666967570989506
330,330,0_331,0_735,92316.7,122.0237,13.9924,0.0014,6.001697E-5,19.0,19.0,186.0,349.0,186.1758,349.4356,186.1758,349.4356,142.5486210539423,27.88841174115094,0.582,0.375,65.15,7.9E-4,5.0E-4,64.03,186.1758,349.4356,142.5486210539423,27.88841174115094,0.11809833229,0.24581721495,0.11809833229,0.24581721495,0.496,0.343,87.19,0.4961114,0.343204,87.19,99.0,0.0,0.58,1.55,0.355,1.0,0.0,20,20,0_21,0_57,94574.19,146.6219,13.9661,0.0017,187.8226,125.0,135.0,186.0,349.0,186.271,349.8996,186.271,349.8996,142.54859226835887,27.88828101678247,1.73,1.499,76.26,0.00375,0.00327,85.12,186.271,349.8996,142.54859226835887,27.88828101678247,0.56662761647,0.65803051632,0.56662761647,0.65803051632,0.815,0.748,75.65,0.8151251,0.7484846,75.65,23.3704,0.0,2.76,1.154,0.134,0.985,0.0,,,0.473665536006151
359,359,0_360,0_706,383.2696,7.862422,19.9468,0.0223,-0.0010002,10.0,10.0,311.0,346.0,311.1024,345.4933,311.1024,345.4933,142.50884586919065,27.88916176961071,1.005,0.549,67.33,0.02361,0.01219,66.61,311.1024,345.4933,142.50884586919065,27.88916176961071,0.25041388762,0.42980798109,0.25041388762,0.42980798109,0.666,0.486,74.98,0.6661198,0.4863191,74.98,33.9295,0.0,2.43,1.829,0.453,1.0,0.0,21,21,0_22,0_56,263.7354,22.71468,20.3527,0.0935,188.082,10.0,10.0,311.0,346.0,311.0283,345.5576,311.0283,345.5576,142.50886966955477,27.88914390808615,1.044,0.659,63.67,0.10695,0.06553,63.45,311.0283,345.5576,142.50886966955477,27.88914390808615,0.78998824236,0.9920783162,0.78998824236,0.9920783162,1.022,0.858,65.45,1.022434,0.8583102,65.45,23.3628,0.0,3.74,1.585,0.369,0.002,0.0,,,0.0981086132813958
370,370,0_371,0_695,1105.353,13.35226,18.7968,0.0131,-3.257845E-5,27.0,27.0,157.0,338.0,155.5861,338.2268,155.5861,338.2268,142.5583214502059,27.891648788920776,1.587,1.171,68.75,0.02125,0.01562,71.67,155.5861,338.2268,142.5583214502059,27.891648788920776,0.84153125259,0.96743229105,0.84153125259,0.96743229105,0.984,0.917,-88.01,0.9836587,0.9172672,-88.01,37.075,0.0,6.51,1.356,0.262,0.956,0.0,22,22,0_23,0_55,942.8011,39.19268,18.9695,0.0451,187.743,27.0,30.0,156.0,339.0,155.7346,338.5127,155.7346,338.5127,142.5582751083194,27.891567992888252,1.498,1.325,68.62,0.07166,0.06432,67.31,155.7346,338.5127,142.5582751083194,27.891567992888252,1.6257150266,1.8815926217,1.6257150266,1.8815926217,1.381,1.265,73.28,1.380929,1.265047,73.28,23.3693,0.0,5.83,1.131,0.116,0.0,0.0,,,0.3221661993443546
402,402,0_403,0_663,441.1126,8.434879,19.7942,0.0208,4.148374E-5,8.0,8.0,151.0,319.0,150.5959,319.0119,150.5959,319.0119,142.559847595367,27.89706503270877,0.628,0.543,44.53,0.01352,0.01135,40.24,150.5959,319.0119,142.559847595367,27.89706503270877,0.15068292544,0.12239596152,0.15068292544,0.12239596152,0.389,0.349,-7.84,0.3888817,0.34907,-7.84,99.0,0.0,1.24,1.157,0.136,1.0,0.0,23,23,0_24,0_54,311.8103,23.60715,20.1708,0.0822,188.4236,8.0,11.0,151.0,319.0,150.5534,319.1519,150.5534,319.1519,142.55986157870018,27.89702578945109,1.02,0.726,41.42,0.09433,0.063,41.08,150.5534,319.1519,142.55986157870018,27.89702578945109,0.6977647268,0.75418638106,0.6977647268,0.75418638106,0.878,0.826,64.89,0.87753,0.8257677,64.89,23.4138,0.0,2.6,1.406,0.289,0.62,0.0,,,0.1463087488839793
413,413,0_414,0_652,36005.94,76.20636,15.0146,0.0023,-1.307972E-4,5.0,5.0,379.0,312.0,379.1299,312.4351,379.1299,312.4351,142.4870820504035,27.898255198191464,0.501,0.329,78.8,0.00106,7.0E-4,78.81,379.1299,312.4351,142.4870820504035,27.898255198191464,0.098580464055,0.20862768358,0.098580464055,0.20862768358,0.457,0.314,88.68,0.4568218,0.3138821,88.68,37.0481,0.0,0.7,1.521,0.343,1.0,0.0,24,24,0_25,0_53,36571.8,102.7846,14.9977,0.0031,187.829,89.0,99.0,379.0,312.0,379.2248,312.9109,379.2248,312.9109,142.48705347561736,27.89812114511713,1.654,1.457,76.02,0.00659,0.00597,81.42,379.2248,312.9109,142.48705347561736,27.89812114511713,0.55202880563,0.63430516132,0.55202880563,0.63430516132,0.8,0.739,75.52,0.8001149,0.7390197,75.52,23.3506,0.0,2.73,1.135,0.119,0.983,0.0,,,0.48517177370499004
419,419,0_420,0_646,296.9183,6.920264,20.224,0.0253,-5.102286E-4,4.0,4.0,445.0,308.0,445.1433,308.482,445.1433,308.482,142.46605785452752,27.899167862961534,0.593,0.319,-73.2,0.01507,0.00791,-73.56,445.1433,308.482,142.46605785452752,27.899167862961534,0.045479488161,0.24000413012,0.045479488161,0.24000413012,0.492,0.209,-84.6,0.4916879,0.2091091,-84.6,99.0,0.0,1.18,1.857,0.462,1.0,0.0,26,26,0_27,0_51,204.5527,18.95006,20.6286,0.1006,187.2977,6.0,7.0,445.0,309.0,445.0251,308.6831,445.0251,308.6831,142.46609617384573,27.899111683696027,0.716,0.679,-9.99,0.08845,0.08207,-0.99,445.0251,308.6831,142.46609617384573,27.899111683696027,0.43461075099,0.58383104603,0.43461075099,0.58383104603,0.765,0.658,-83.69,0.7652981,0.6578455,-83.69,23.3291,0.0,2.56,1.054,0.051,0.589,0.0,,,0.2332647637342577
428,428,0_429,0_637,208013.8,183.1682,13.1103,0.001,2.674915E-5,48.0,48.0,275.0,297.0,275.398,296.7167,275.398,296.7167,142.52004660821922,27.90297918377033,0.659,0.506,57.3,6.0E-4,4.5E-4,57.64,275.398,296.7167,142.52004660821922,27.90297918377033,0.20436694646,0.15496414213,0.20436694646,0.15496414213,0.458,0.386,17.84,0.4583359,0.3863409,17.84,99.0,4.0,0.48,1.303,0.233,1.0,0.0,27,27,0_28,0_50,214961.1,207.9264,13.0747,0.0011,187.9975,170.0,182.0,275.0,297.0,275.4883,297.1507,275.4883,297.1507,142.52001931674374,27.90285690437404,1.78,1.542,73.74,0.00233,0.00205,71.76,275.4883,297.1507,142.52001931674374,27.90285690437404,0.6002182861,0.68510422446,0.6002182861,0.68510422446,0.833,0.77,73.63,0.8325377,0.7695476,73.63,23.3655,0.0,2.92,1.155,0.134,0.985,0.0,,,0.4432945860260029
430,430,0_431,0_635,480.4737,8.803168,19.7014,0.0199,-0.001285617,4.0,4.0,488.0,301.0,488.2501,301.1682,488.2501,301.1682,142.4523126281632,27.901092355174303,0.437,0.369,-14.8,0.00831,0.00725,-11.14,488.2501,301.1682,142.4523126281632,27.901092355174303,0.1398536334,0.11681538716,0.1398536334,0.11681538716,0.374,0.342,-2.14,0.3740132,0.3417354,-2.14,99.0,0.0,0.93,1.184,0.156,1.0,0.0,29,29,0_30,0_48,364.896,22.95883,20.0002,0.0683,187.763,9.0,10.0,488.0,301.0,488.2948,301.2595,488.2948,301.2595,142.4522987222716,27.9010665493469,0.904,0.735,-50.43,0.07457,0.05892,-45.49,488.2948,301.2595,142.4522987222716,27.9010665493469,0.45605952955,0.5407277226,0.45605952955,0.5407277226,0.74,0.67,-74.9,0.7398499,0.67038,-74.9,23.3591,0.0,2.2,1.229,0.186,0.475,0.0,,,0.10165520153932703
