col1_1,Unnamed: 0_1,NUMBER_1,ID_PARENT_1,FLUX_ISO_1,FLUXERR_ISO_1,MAG_ISO_1,MAGERR_ISO_1,BACKGROUND_1,ISOAREA_IMAGE_1,ISOAREAF_IMAGE_1,XPEAK_IMAGE_1,YPEAK_IMAGE_1,X_IMAGE_1,Y_IMAGE_1,X_IMAGE_DBL_1,Y_IMAGE_DBL_1,X_WORLD_1,Y_WORLD_1,A_IMAGE_1,B_IMAGE_1,THETA_IMAGE_1,ERRA_IMAGE_1,ERRB_IMAGE_1,ERRTHETA_IMAGE_1,XWIN_IMAGE_1,YWIN_IMAGE_1,XWIN_WORLD_1,YWIN_WORLD_1,X2WIN_IMAGE_1,Y2WIN_IMAGE_1,X2WIN_WORLD_1,Y2WIN_WORLD_1,AWIN_IMAGE_1,BWIN_IMAGE_1,THETAWIN_IMAGE_1,AWIN_WORLD_1,BWIN_WORLD_1,THETAWIN_WORLD_1,MU_THRESHOLD_1,FLAGS_1,FWHM_IMAGE_1,ELONGATION_1,ELLIPTICITY_1,CLASS_STAR_1,SUBDIV_NUMBER_1,col1_2,Unnamed: 0_2,NUMBER_2,ID_PARENT_2,FLUX_ISO_2,FLUXERR_ISO_2,MAG_ISO_2,MAGERR_ISO_2,BACKGROUND_2,ISOAREA_IMAGE_2,ISOAREAF_IMAGE_2,XPEAK_IMAGE_2,YPEAK_IMAGE_2,X_IMAGE_2,Y_IMAGE_2,X_IMAGE_DBL_2,Y_IMAGE_DBL_2,X_WORLD_2,Y_WORLD_2,A_IMAGE_2,B_IMAGE_2,THETA_IMAGE_2,ERRA_IMAGE_2,ERRB_IMAGE_2,ERRTHETA_IMAGE_2,XWIN_IMAGE_2,YWIN_IMAGE_2,XWIN_WORLD_2,YWIN_WORLD_2,X2WIN_IMAGE_2,Y2WIN_IMAGE_2,X2WIN_WORLD_2,Y2WIN_WORLD_2,AWIN_IMAGE_2,BWIN_IMAGE_2,THETAWIN_IMAGE_2,AWIN_WORLD_2,BWIN_WORLD_2,THETAWIN_WORLD_2,MU_THRESHOLD_2,FLAGS_2,FWHM_IMAGE_2,ELONGATION_2,ELLIPTICITY_2,CLASS_STAR_2,SUBDIV_NUMBER_2,Separation
628,628,5_8,5_32,466.6389,8.746324,19.6314,0.0204,0.0,11.0,11.0,2917.0,349.0,2916.6159,348.7828,2916.6159,348.7828,191.9504380294999,27.83222668803011,0.708,0.617,-69.4,0.01328,0.01156,-69.4,2916.6159,348.7828,191.9504380294999,27.83222668803011,0.23218403682,0.24838248256,0.23218403682,0.24838248256,0.499,0.481,-81.82,0.4987228,0.4814998,-81.82,46.8219,0.0,1.5,1.148,0.129,1.0,5.0,117,117,5_5,5_23,427.4384,25.3829,19.7267,0.0645,197.5968,13.0,14.0,2917.0,349.0,2916.5429,348.7308,2916.5429,348.7308,191.95046068778427,27.832241983812025,0.974,0.957,-19.7,0.07009,0.06862,-0.45,2916.5429,348.7308,191.95046068778427,27.832241983812025,0.82065536808,0.86735678568,0.82065536808,0.86735678568,0.938,0.899,-65.37,0.9379678,0.8990153,-65.37,23.3238,0.0,3.28,1.018,0.017,0.595,5.0,0.08962700485892923
630,630,5_10,5_30,4825.177,28.12495,17.0951,0.0063,0.0,16.0,16.0,2716.0,304.0,2715.7771,303.9192,2715.7771,303.9192,192.0138278672292,27.846700537323137,0.566,0.554,-29.0,0.0033,0.00323,-29.02,2715.7771,303.9192,192.0138278672292,27.846700537323137,0.11132369791,0.084549399949,0.11132369791,0.084549399949,0.334,0.291,-0.97,0.3336636,0.2907606,-0.97,40.3692,0.0,1.16,1.022,0.022,1.0,5.0,119,119,5_7,5_21,4656.009,52.67362,17.1338,0.0123,195.371,42.0,48.0,2716.0,304.0,2715.7942,303.9594,2715.7942,303.9594,192.013822849654,27.84668908316263,1.509,1.395,-4.54,0.02214,0.01982,-0.65,2715.7942,303.9594,192.013822849654,27.84668908316263,0.95408770962,0.87586618296,0.95408770962,0.87586618296,0.977,0.936,-4.92,0.977073,0.9355652,-4.92,23.3163,0.0,3.09,1.081,0.075,0.981,5.0,0.04368581005318689
631,631,5_11,5_29,5238.001,29.30339,17.006,0.0061,0.0,17.0,17.0,2763.0,303.0,2763.1145,303.2788,2763.1145,303.2788,191.9987677472592,27.84644298391842,0.584,0.537,-50.1,0.00327,0.003,-50.09,2763.1145,303.2788,191.9987677472592,27.84644298391842,0.10083099906,0.14316439113,0.10083099906,0.14316439113,0.379,0.317,-85.71,0.3786871,0.3171616,-85.71,41.2113,0.0,1.14,1.089,0.081,1.0,5.0,118,118,5_6,5_22,5129.987,53.62738,17.0286,0.0114,195.3401,42.0,49.0,2763.0,303.0,2763.1787,303.323,2763.1787,303.323,191.99874779550768,27.846429969161772,1.496,1.421,-24.86,0.01998,0.01932,-60.2,2763.1787,303.323,191.99874779550768,27.846429969161772,0.96674480494,0.88170175108,0.96674480494,0.88170175108,0.986,0.936,-14.19,0.9861832,0.9358896,-14.19,23.2845,0.0,3.15,1.053,0.05,0.981,5.0,0.07794408252057022
632,632,5_12,5_28,5500.209,30.02788,16.9529,0.0059,0.0,17.0,17.0,2739.0,288.0,2738.7952,287.528,2738.7952,287.528,192.00633632337656,27.85109396321884,0.586,0.564,-20.5,0.0032,0.00308,-20.48,2738.7952,287.528,192.00633632337656,27.85109396321884,0.1480408205,0.25406306179,0.1480408205,0.25406306179,0.504,0.385,-88.18,0.504153,0.3846215,-88.18,99.0,0.0,1.19,1.04,0.038,1.0,5.0,121,121,5_9,5_19,5429.476,55.89799,16.967,0.0112,195.2191,44.0,53.0,2739.0,288.0,2738.8417,287.5543,2738.8417,287.5543,192.00632181117425,27.851086143107928,1.555,1.429,8.4,0.02086,0.01907,21.23,2738.8417,287.5543,192.00632181117425,27.851086143107928,0.99298658703,0.87997863077,0.99298658703,0.87997863077,0.997,0.938,-4.9,0.9969075,0.9376251,-4.9,23.2805,0.0,3.1,1.088,0.081,0.98,5.0,0.05342227999620078
633,633,5_13,5_27,1572.233,16.05438,18.3126,0.0111,2.377105E-4,16.0,16.0,2543.0,287.0,2543.3149,286.9278,2543.3149,286.9278,192.06849691358272,27.853055391061343,0.66,0.625,6.5,0.00674,0.00639,6.51,2543.3149,286.9278,192.06849691358272,27.853055391061343,0.20918460283,0.14162691997,0.20918460283,0.14162691997,0.457,0.376,-0.43,0.4573713,0.3763284,-0.43,99.0,0.0,1.26,1.056,0.053,1.0,5.0,122,122,5_10,5_18,1493.459,38.22269,18.3684,0.0278,193.552,26.0,29.0,2543.0,287.0,2543.3386,286.9255,2543.3386,286.9255,192.06848935266916,27.85305582175236,1.348,1.216,-3.5,0.04212,0.03787,-7.44,2543.3386,286.9255,192.06848935266916,27.85305582175236,0.95635279951,0.86120104746,0.95635279951,0.86120104746,0.978,0.928,3.03,0.9780698,0.9278649,3.03,23.356,0.0,3.3,1.108,0.098,0.925,5.0,0.023811341835540484
634,634,5_14,5_26,297.3632,6.981982,20.1206,0.0255,0.001896137,3.0,3.0,2755.0,278.0,2755.0382,277.9043,2755.0382,277.9043,192.0010697848161,27.85364797948891,0.412,0.346,85.82,0.00969,0.00813,85.82,2755.0382,277.9043,192.0010697848161,27.85364797948891,0.085811193114,0.089569436546,0.085811193114,0.089569436546,0.299,0.293,89.76,0.2992817,0.2929354,89.76,99.0,0.0,2.16,1.192,0.161,1.0,5.0,123,123,5_11,5_17,273.472,18.40343,20.2116,0.0731,195.1844,3.0,7.0,2755.0,278.0,2755.043,277.7352,2755.043,277.7352,192.0010664835624,27.85369545174316,0.686,0.627,3.41,0.06279,0.058,0.9,2755.043,277.7352,192.0010664835624,27.85369545174316,0.11488929017,0.11176616629,0.11488929017,0.11176616629,0.34,0.333,21.45,0.3397927,0.3334612,21.45,23.2689,0.0,1.09,1.094,0.086,0.732,5.0,0.16916811165224727
635,635,5_15,5_25,496.221,9.019296,19.5647,0.0197,5.282455E-5,14.0,14.0,2592.0,272.0,2592.272,272.3915,2592.272,272.3915,192.0527769136715,27.856693876052883,0.683,0.642,31.26,0.01242,0.01168,31.27,2592.272,272.3915,192.0527769136715,27.856693876052883,0.20802291362,0.26261462682,0.20802291362,0.26261462682,0.528,0.438,64.26,0.5283461,0.4375934,64.26,40.7192,0.0,1.49,1.063,0.06,1.0,5.0,124,124,5_12,5_16,479.8647,26.49329,19.6011,0.06,193.8035,14.0,15.0,2592.0,272.0,2592.3661,272.3889,2592.3661,272.3889,192.05274695956868,27.85669374696451,1.039,0.956,-39.62,0.07244,0.06348,-44.63,2592.3661,272.3889,192.05274695956868,27.85669374696451,0.94437915235,0.87915895516,0.94437915235,0.87915895516,0.972,0.937,5.85,0.9721476,0.9372657,5.85,23.3303,0.0,3.58,1.086,0.079,0.401,5.0,0.09413591238229863
636,636,5_16,5_24,531.7142,9.336287,19.4897,0.0191,-5.292972E-4,9.0,9.0,2553.0,270.0,2552.9348,270.3932,2552.9348,270.3932,192.06526698352656,27.85761422837427,0.58,0.576,-57.28,0.01019,0.01012,-57.06,2552.9348,270.3932,192.06526698352656,27.85761422837427,0.13632525782,0.22676601043,0.13632525782,0.22676601043,0.476,0.369,89.28,0.4762147,0.3692029,89.28,34.1539,0.0,1.21,1.007,0.007,0.991,5.0,125,125,5_13,5_15,513.96,27.45484,19.5265,0.058,193.2084,13.0,16.0,2553.0,270.0,2552.953,270.452,2552.953,270.452,192.0652618018196,27.857597539294748,1.075,0.927,-4.67,0.07253,0.05952,-0.05,2552.953,270.452,192.0652618018196,27.857597539294748,0.68033974788,0.62328266724,0.68033974788,0.62328266724,0.832,0.782,-22.2,0.8317078,0.7822304,-22.2,23.3227,0.0,3.1,1.159,0.137,0.661,5.0,0.06155225422355788
639,639,5_19,5_21,1735.499,16.86736,18.2053,0.0106,0.0,16.0,16.0,2666.0,233.0,2666.1949,232.7821,2666.1949,232.7821,192.0288541459896,27.867146656626964,0.667,0.611,52.01,0.00648,0.00594,52.0,2666.1949,232.7821,192.0288541459896,27.867146656626964,0.19329029599,0.20093264926,0.19329029599,0.20093264926,0.456,0.432,55.32,0.4560219,0.4315865,55.32,45.7726,0.0,1.4,1.092,0.084,1.0,5.0,129,129,5_17,5_11,1626.726,39.40167,18.2756,0.0263,194.9514,26.0,31.0,2666.0,233.0,2666.2286,232.7768,2666.2286,232.7768,192.02884337183764,27.867147836080893,1.324,1.27,29.68,0.03915,0.03788,42.91,2666.2286,232.7768,192.02884337183764,27.867147836080893,0.90617338721,0.85010739992,0.90617338721,0.85010739992,0.958,0.916,22.08,0.9577109,0.9160079,22.08,23.3309,0.0,3.12,1.042,0.041,0.911,5.0,0.034114219908960526
640,640,5_20,5_20,45453.17,86.32114,14.66,0.0021,0.0,16.0,16.0,2646.0,232.0,2646.4741,231.8563,2646.4741,231.8563,192.0351170800776,27.86758795764014,0.518,0.45,-6.74,9.8E-4,8.6E-4,-6.74,2646.4741,231.8563,192.0351170800776,27.86758795764014,0.24170103872,0.064209859741,0.24170103872,0.064209859741,0.492,0.253,-0.72,0.4916594,0.2533415,-0.72,42.9248,0.0,0.96,1.151,0.131,1.0,5.0,127,127,5_15,5_13,46462.01,110.6664,14.6361,0.0026,195.2054,102.0,112.0,2646.0,232.0,2646.5343,231.9333,2646.5343,231.9333,192.0350987335978,27.867565768452728,1.705,1.642,0.41,0.00546,0.00536,3.35,2646.5343,231.9333,192.0350987335978,27.867565768452728,0.9928403372,0.89990150095,0.9928403372,0.89990150095,0.997,0.948,-6.84,0.9970942,0.9479162,-6.84,23.3649,0.0,3.05,1.039,0.037,0.991,5.0,0.09773965418389358
