col1,Unnamed: 0,NUMBER,ID_PARENT,FLUX_ISO,FLUXERR_ISO,MAG_ISO,MAGERR_ISO,BACKGROUND,ISOAREA_IMAGE,ISOAREAF_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,X_IMAGE,Y_IMAGE,X_IMAGE_DBL,Y_IMAGE_DBL,X_WORLD,Y_WORLD,A_IMAGE,B_IMAGE,THETA_IMAGE,ERRA_IMAGE,ERRB_IMAGE,ERRTHETA_IMAGE,XWIN_IMAGE,YWIN_IMAGE,XWIN_WORLD,YWIN_WORLD,X2WIN_IMAGE,Y2WIN_IMAGE,X2WIN_WORLD,Y2WIN_WORLD,AWIN_IMAGE,BWIN_IMAGE,THETAWIN_IMAGE,AWIN_WORLD,BWIN_WORLD,THETAWIN_WORLD,MU_THRESHOLD,FLAGS,FWHM_IMAGE,ELONGATION,ELLIPTICITY,CLASS_STAR,SUBDIV_NUMBER
46298,46298,33_39,33_1625,9.71822,1.232263,23.8027,0.1377,0.001522161,1.0,1.0,2969.0,2510.0,2969.0,2510.0,2969.0,2510.0,315.456179833669,62.389893159477445,0.289,0.289,45.0,0.0366,0.0366,45.0,2969.0,2510.0,315.456179833669,62.389893159477445,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,37.61,0.0,0.0,1.0,0.0,1.0,33.0
46299,46299,33_40,33_1624,16.1965,1.590818,23.2481,0.1067,4.163773E-4,1.0,1.0,2950.0,2510.0,2950.0,2510.0,2950.0,2510.0,315.4677048165059,62.389702469455074,0.289,0.289,45.0,0.02835,0.02835,45.0,2950.0,2510.0,315.4677048165059,62.389702469455074,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,38.5428,0.0,0.0,1.0,0.0,1.0,33.0
46300,46300,33_41,33_1623,3.892978,0.7799217,24.7959,0.2176,-9.22203E-4,1.0,1.0,2927.0,2510.0,2927.0,2510.0,2927.0,2510.0,315.48165597182106,62.389470363481145,0.289,0.289,45.0,0.05783,0.05783,45.0,2927.0,2510.0,315.48165597182106,62.389470363481145,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,40.8899,0.0,0.0,1.0,0.0,1.0,33.0
46301,46301,33_42,33_1622,0.3895517,0.2467133,27.2952,0.6878,0.003266684,1.0,1.0,2999.0,2509.0,2999.0,2509.0,2999.0,2509.0,315.4380037373002,62.39047339218772,0.289,0.289,45.0,0.18282,0.18282,45.0,2999.0,2509.0,315.4380037373002,62.39047339218772,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,36.8673,0.0,0.0,1.0,0.0,1.0,33.0
46302,46302,33_43,33_1621,7.99969,1.118012,24.0139,0.1518,-3.897018E-4,1.0,1.0,2936.0,2509.0,2936.0,2509.0,2936.0,2509.0,315.4762186550851,62.38984242414778,0.289,0.289,45.0,0.04034,0.04034,45.0,2936.0,2509.0,315.4762186550851,62.38984242414778,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,40.162,0.0,0.0,1.0,0.0,1.0,33.0
46304,46304,33_45,33_1619,4.996417,0.8835667,24.525,0.192,0.003380986,1.0,1.0,3001.0,2508.0,3001.0,2508.0,3001.0,2508.0,315.43681198779075,62.39077432970965,0.289,0.289,45.0,0.05105,0.05105,45.0,3001.0,2508.0,315.43681198779075,62.39077432970965,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,36.8717,0.0,0.0,1.0,0.0,1.0,33.0
46305,46305,33_46,33_1618,33.38116,2.283814,22.4629,0.0743,0.001818318,1.0,1.0,2974.0,2508.0,2974.0,2508.0,2974.0,2508.0,315.45319011661564,62.3905053331268,0.289,0.289,45.0,0.01975,0.01975,45.0,2974.0,2508.0,315.45319011661564,62.3905053331268,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,37.5189,0.0,0.0,1.0,0.0,1.0,33.0
46308,46308,33_49,33_1615,65.05904,3.188334,21.7384,0.0532,-0.001999545,2.0,2.0,2838.0,2508.0,2837.8823,2507.8823,2837.8823,2507.8823,315.53575813750854,62.38915309328955,0.539,0.289,45.0,0.02644,0.01415,45.0,2837.8823,2507.8823,315.53575813750854,62.38915309328955,0.083456930361,0.083456930361,0.083456930361,0.083456930361,0.289,0.289,45.0,0.289103,0.2886751,45.0,42.1011,0.0,2.26,1.869,0.465,1.0,33.0
46309,46309,33_50,33_1614,16.6238,1.611666,23.2198,0.1053,-0.001481213,1.0,1.0,2782.0,2508.0,2782.0,2508.0,2782.0,2508.0,315.56965052823256,62.38853718101755,0.289,0.289,45.0,0.02799,0.02799,45.0,2782.0,2508.0,315.56965052823256,62.38853718101755,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,43.0012,0.0,0.0,1.0,0.0,1.0,33.0
46311,46311,33_52,33_1612,4.623377,0.8499427,24.6092,0.1996,-3.000208E-5,2.0,2.0,2665.0,2507.0,2665.0,2507.4479,2665.0,2507.4479,315.64062544581486,62.387445540455865,0.575,0.289,90.0,0.1057,0.05307,90.0,2665.0,2507.4479,315.64062544581486,62.387445540455865,0.0833333,0.22184416851,0.0833333,0.22184416851,0.471,0.289,90.0,0.4710034,0.2886751,90.0,41.728,0.0,0.96,1.992,0.498,1.0,33.0
