col1,Unnamed: 0,NUMBER,ID_PARENT,FLUX_ISO,FLUXERR_ISO,MAG_ISO,MAGERR_ISO,BACKGROUND,ISOAREA_IMAGE,ISOAREAF_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,X_IMAGE,Y_IMAGE,X_IMAGE_DBL,Y_IMAGE_DBL,X_WORLD,Y_WORLD,A_IMAGE,B_IMAGE,THETA_IMAGE,ERRA_IMAGE,ERRB_IMAGE,ERRTHETA_IMAGE,XWIN_IMAGE,YWIN_IMAGE,XWIN_WORLD,YWIN_WORLD,X2WIN_IMAGE,Y2WIN_IMAGE,X2WIN_WORLD,Y2WIN_WORLD,AWIN_IMAGE,BWIN_IMAGE,THETAWIN_IMAGE,AWIN_WORLD,BWIN_WORLD,THETAWIN_WORLD,MU_THRESHOLD,FLAGS,FWHM_IMAGE,ELONGATION,ELLIPTICITY,CLASS_STAR,SUBDIV_NUMBER
1,1,0_2,0_23,20.8978,1.807009,22.4329,0.0939,4.525899E-4,3.0,3.0,456.0,10.0,456.3023,10.9312,456.3023,10.9312,317.09202166280613,63.055195486675785,0.914,0.209,62.66,0.10997,0.02509,62.28,456.3023,10.9312,317.09202166280613,63.055195486675785,0.039428684507,0.32925208084,0.039428684507,0.32925208084,0.584,0.166,78.85,0.5839229,0.1664778,78.85,99.0,0.0,2.53,4.366,0.771,0.826,0.0
4,4,0_5,0_12,166.224,5.096323,20.1814,0.0333,-0.004248557,2.0,2.0,113.0,9.0,113.0,8.9558,113.0,8.9558,317.304728228419,63.049704080260426,0.354,0.289,90.0,0.01254,0.00918,90.0,113.0,8.9558,317.304728228419,63.049704080260426,0.0833333,0.08590816261,0.0833333,0.08590816261,0.293,0.289,90.0,0.293101,0.2886751,90.0,99.0,0.0,0.0,1.227,0.185,1.0,0.0
5,5,0_6,0_11,46.2581,2.688462,21.5702,0.0631,7.530784E-4,2.0,2.0,442.0,8.0,442.0,7.938599999999999,442.0,7.938599999999999,317.1009957545171,63.05579002336484,0.375,0.289,90.0,0.0311,0.01896,90.0,442.0,7.938599999999999,317.1009957545171,63.05579002336484,0.0833333,0.086938160283,0.0833333,0.086938160283,0.295,0.289,90.0,0.2948528,0.2886751,90.0,99.0,0.0,0.0,1.301,0.231,0.999,0.0
8,8,0_9,0_7,352.4023,7.420436,19.3655,0.0229,-1.896667E-4,4.0,4.0,490.0,5.0,489.7257,5.3885,489.7257,5.3885,317.0715233494376,63.05732334983392,0.508,0.423,-59.62,0.01113,0.00938,-58.12,489.7257,5.3885,317.0715233494376,63.05732334983392,0.089301026814,0.15761735621,0.089301026814,0.15761735621,0.399,0.296,-80.56,0.3994491,0.2955652,-80.56,99.0,0.0,0.9,1.2,0.167,1.0,0.0
10,10,0_11,0_5,1.413826,0.4700109,25.3571,0.361,-0.001697667,1.0,1.0,176.0,5.0,176.0,5.0,176.0,5.0,317.2658727176883,63.051947479778136,0.289,0.289,45.0,0.2256,0.2256,45.0,176.0,5.0,317.2658727176883,63.051947479778136,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,99.0,0.0,0.0,1.0,0.0,0.034,0.0
16,16,0_17,0_1317,5.051146,0.8883926,23.9747,0.191,0.005035458,2.0,2.0,317.0,503.0,317.0,503.1079,317.0,503.1079,317.1593649284192,62.91460727032166,0.424,0.289,90.0,0.20913,0.09545,90.0,317.0,503.1079,317.1593649284192,62.91460727032166,0.0833333,0.090216162509,0.0833333,0.090216162509,0.3,0.289,90.0,0.3003601,0.2886751,90.0,99.0,0.0,-1.55,1.468,0.319,0.579,0.0
17,17,0_18,0_1316,10.08012,1.254998,23.2245,0.1352,0.01962502,1.0,1.0,183.0,504.0,183.0,504.0,183.0,504.0,317.24193136252484,62.911996729211786,0.289,0.289,45.0,0.04595,0.04595,45.0,183.0,504.0,317.24193136252484,62.911996729211786,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,99.0,0.0,0.0,1.0,0.0,0.732,0.0
18,18,0_19,0_1315,41.27645,2.539576,21.6939,0.0668,0.0254728,1.0,1.0,142.0,504.0,142.0,504.0,142.0,504.0,317.26720125157664,62.91126509929148,0.289,0.289,45.0,0.01909,0.01909,45.0,142.0,504.0,317.26720125157664,62.91126509929148,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,99.0,0.0,0.0,1.0,0.0,0.99,0.0
19,19,0_20,0_1314,92.62227,3.804238,20.8163,0.0446,0.01564099,2.0,2.0,71.0,504.0,71.3772,504.0,71.3772,504.0,317.31072499485964,62.90999442189846,0.564,0.289,0.0,0.02486,0.01265,0.0,71.3772,504.0,317.31072499485964,62.90999442189846,0.17157384111,0.0833333,0.17157384111,0.0833333,0.414,0.289,0.0,0.4142147,0.2886751,0.0,99.0,0.0,0.95,1.954,0.488,0.999,0.0
21,21,0_22,0_1312,2.22692,0.5898782,24.8639,0.2877,-8.375361E-4,1.0,1.0,373.0,503.0,373.0,503.0,373.0,503.0,317.1248440528393,62.91560974482628,0.289,0.289,45.0,0.1505,0.1505,45.0,373.0,503.0,317.1248440528393,62.91560974482628,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,99.0,0.0,0.0,1.0,0.0,0.04,0.0
22,22,0_23,0_1311,21.6972,1.841246,22.3921,0.0922,0.005746578,1.0,1.0,312.0,503.0,312.0,503.0,312.0,503.0,317.1624515097103,62.914550356599634,0.289,0.289,45.0,0.02788,0.02788,45.0,312.0,503.0,317.1624515097103,62.914550356599634,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,99.0,0.0,0.0,1.0,0.0,0.96,0.0
25,25,0_26,0_1308,2.29869,0.5993081,24.8294,0.2831,0.01974878,1.0,1.0,82.0,503.0,82.0,503.0,82.0,503.0,317.3042183298329,62.91046710680976,0.289,0.289,45.0,0.14641,0.14641,45.0,82.0,503.0,317.3042183298329,62.91046710680976,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,99.0,0.0,0.0,1.0,0.0,0.046,0.0
27,27,0_28,0_1306,0.4126934,0.2539357,26.6941,0.6682,-0.003534114,1.0,1.0,493.0,502.0,493.0,502.0,493.0,502.0,317.05088938706,62.91794567905943,0.289,0.289,45.0,0.72168,0.72168,45.0,493.0,502.0,317.05088938706,62.91794567905943,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,99.0,0.0,0.0,1.0,0.0,0.007,0.0
28,28,0_29,0_1305,45.8993,2.678015,21.5786,0.0634,-0.003490883,1.0,1.0,489.0,502.0,489.0,502.0,489.0,502.0,317.0533560213736,62.91787779133583,0.289,0.289,45.0,0.01798,0.01798,45.0,489.0,502.0,317.0533560213736,62.91787779133583,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,99.0,0.0,0.0,1.0,0.0,0.992,0.0
31,31,0_32,0_1302,23.00171,1.895789,22.3287,0.0895,0.008983523,2.0,2.0,250.0,500.0,250.0,500.4045,250.0,500.4045,317.2007723616953,62.914192137987136,0.569,0.289,90.0,0.05913,0.02968,90.0,250.0,500.4045,317.2007723616953,62.914192137987136,0.0833333,0.19125175894,0.0833333,0.19125175894,0.437,0.289,90.0,0.4373234,0.2886751,90.0,99.0,0.0,0.96,1.972,0.493,0.966,0.0
32,32,0_33,0_1301,16.1274,1.587421,22.7142,0.1069,0.01881465,2.0,2.0,184.0,501.0,184.2976,501.0,184.2976,501.0,317.24124885237256,62.91286200368285,0.541,0.289,0.0,0.07557,0.03805,0.0,184.2976,501.0,317.24124885237256,62.91286200368285,0.11310023377,0.0833333,0.11310023377,0.0833333,0.336,0.289,0.0,0.3363038,0.2886751,0.0,99.0,0.0,0.92,1.873,0.466,0.925,0.0
33,33,0_34,0_1300,58.42081,3.0213,21.3167,0.0562,-0.009843633,4.0,4.0,5.0,499.0,4.651,499.6305,4.651,499.6305,317.3520182518798,62.91000823294179,0.892,0.217,-60.61,0.05546,0.01554,-60.54,4.651,499.6305,317.3520182518798,62.91000823294179,0.14396874207,0.21910645452,0.14396874207,0.21910645452,0.504,0.331,-60.68,0.5037152,0.3306754,-60.68,99.0,16.0,2.1,4.113,0.757,1.0,0.0
34,34,0_35,0_1299,39.97242,2.499138,21.7287,0.0679,-0.003206933,3.0,3.0,461.0,500.0,460.8306,499.9156,460.8306,499.9156,317.0708046126927,62.917983756792864,0.379,0.272,-12.14,0.0337,0.02679,-32.08,460.8306,499.9156,317.0708046126927,62.917983756792864,0.097658319271,0.089743753275,0.097658319271,0.089743753275,0.313,0.3,-0.68,0.3125051,0.2995708,-0.68,99.0,0.0,0.89,1.392,0.282,0.999,0.0
35,35,0_36,0_1298,156.2688,4.941355,20.2484,0.0343,-8.543899E-4,3.0,3.0,372.0,500.0,371.9945,499.6308,371.9945,499.6308,317.1255919884337,62.91653831828183,0.562,0.298,89.12,0.01658,0.0065,82.75,371.9945,499.6308,317.1255919884337,62.91653831828183,0.083479502937,0.1637440789,0.083479502937,0.1637440789,0.405,0.289,89.9,0.4046533,0.2889278,89.9,99.0,0.0,0.93,1.887,0.47,1.0,0.0
36,36,0_37,0_1297,82.1413,3.582538,20.9467,0.0474,4.274402E-4,3.0,3.0,349.0,500.0,349.4661,499.7483,349.4661,499.7483,317.1394774504888,62.91611515554557,0.597,0.284,-38.66,0.02905,0.01435,-39.12,349.4661,499.7483,317.1394774504888,62.91611515554557,0.23321437338,0.12719864225,0.23321437338,0.12719864225,0.495,0.339,-17.65,0.4951364,0.3394893,-17.65,99.0,0.0,1.31,2.099,0.524,1.0,0.0
37,37,0_38,0_1296,8.994923,1.18552,23.3481,0.1431,0.02435556,1.0,1.0,130.0,500.0,130.0,500.0,130.0,500.0,317.27475465478284,62.912173002431096,0.289,0.289,45.0,0.04977,0.04977,45.0,130.0,500.0,317.27475465478284,62.912173002431096,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,99.0,0.0,0.0,1.0,0.0,0.674,0.0
39,39,0_40,0_1294,8.288087,1.137987,23.437,0.1491,0.00327192,1.0,1.0,328.0,499.0,328.0,499.0,328.0,499.0,317.1527405960677,62.91595221616712,0.289,0.289,45.0,0.05276,0.05276,45.0,328.0,499.0,317.1527405960677,62.91595221616712,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,99.0,0.0,0.0,1.0,0.0,0.638,0.0
42,42,0_43,0_1291,109.0348,4.127552,20.6392,0.0411,0.02379694,6.0,6.0,136.0,498.0,134.3986,497.8455,134.3986,497.8455,317.27212851424434,62.91285666382191,1.545,0.428,-3.19,0.06611,0.02079,-4.05,134.3986,497.8455,317.27212851424434,62.91285666382191,0.50566068722,0.20646175076,0.50566068722,0.20646175076,0.721,0.439,11.84,0.7207064,0.4389814,11.84,99.0,1.0,4.83,3.615,0.723,1.0,0.0
43,43,0_44,0_1290,17.45589,1.651509,22.6283,0.1027,-0.003508569,1.0,1.0,493.0,498.0,493.0,498.0,493.0,498.0,317.05103851299816,62.91906882991171,0.289,0.289,45.0,0.03193,0.03193,45.0,493.0,498.0,317.05103851299816,62.91906882991171,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,99.0,0.0,0.0,1.0,0.0,0.932,0.0
