col1,Unnamed: 0,NUMBER,ID_PARENT,FLUX_ISO,FLUXERR_ISO,MAG_ISO,MAGERR_ISO,BACKGROUND,ISOAREA_IMAGE,ISOAREAF_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,X_IMAGE,Y_IMAGE,X_IMAGE_DBL,Y_IMAGE_DBL,X_WORLD,Y_WORLD,A_IMAGE,B_IMAGE,THETA_IMAGE,ERRA_IMAGE,ERRB_IMAGE,ERRTHETA_IMAGE,XWIN_IMAGE,YWIN_IMAGE,XWIN_WORLD,YWIN_WORLD,X2WIN_IMAGE,Y2WIN_IMAGE,X2WIN_WORLD,Y2WIN_WORLD,AWIN_IMAGE,BWIN_IMAGE,THETAWIN_IMAGE,AWIN_WORLD,BWIN_WORLD,THETAWIN_WORLD,MU_THRESHOLD,FLAGS,FWHM_IMAGE,ELONGATION,ELLIPTICITY,CLASS_STAR,SUBDIV_NUMBER
15,15,0_16,0_3,454.2245,23.62523,19.09,0.0565,268.1993,8.0,8.0,511.0,0.0,510.2324,0.7376,510.2324,0.7376,317.05899211060137,63.058978426466815,0.774,0.679,35.45,0.06687,0.05484,45.34,510.2324,0.7376,317.05899211060137,63.058978426466815,0.38467241412,0.35409394898,0.38467241412,0.35409394898,0.622,0.593,-13.96,0.621842,0.5933623,-13.96,22.5337,24.0,4.3,1.139,0.122,0.861,0.0
16,16,0_17,0_2,361.3127,26.37988,19.3384,0.0793,269.3843,8.0,10.0,352.0,0.0,352.4921,0.389,352.4921,0.389,317.1567351870848,63.05635988145409,1.395,0.488,-0.14,0.14529,0.04765,-0.01,352.4921,0.389,317.1567351870848,63.05635988145409,1.6927263985,0.64040829552,1.6927263985,0.64040829552,1.302,0.798,3.02,1.302174,0.7984219,3.02,22.507,24.0,4.9,2.862,0.651,0.088,0.0
24,24,0_25,0_497,87421.48,169.6316,13.3791,0.0021,272.8239,196.0,215.0,162.0,482.0,163.5086,481.2573,163.5086,481.2573,317.2548368828943,62.91803394336781,3.44,1.561,-36.63,0.01055,0.00459,-32.18,163.5086,481.2573,317.2548368828943,62.91803394336781,1.070634005,0.66313227834,1.070634005,0.66313227834,1.156,0.631,-32.13,1.1559,0.6306044,-32.13,22.6037,3.0,13.89,2.204,0.546,0.999,0.0
52,52,0_53,0_453,2742.93,52.06138,17.1376,0.0206,267.1676,30.0,35.0,56.0,460.0,56.0944,461.127,56.0944,461.127,317.32185181541684,62.92175239333356,1.882,1.049,87.16,0.04196,0.02551,87.22,56.0944,461.127,317.32185181541684,62.92175239333356,0.71135307425,2.0955349947,0.71135307425,2.0955349947,1.449,0.842,87.45,1.448543,0.84179,87.45,22.4316,0.0,8.4,1.794,0.443,0.356,0.0
417,417,0_418,0_79,407.7983,28.1046,19.207,0.0748,268.7272,8.0,12.0,511.0,88.0,510.607,88.0567,510.607,88.0567,317.0554839255968,63.034469822560325,1.608,0.488,89.89,0.16216,0.04518,89.97,510.607,88.0567,317.0554839255968,63.034469822560325,0.41748304211,1.3383094659,0.41748304211,1.3383094659,1.157,0.646,-89.48,1.156886,0.6460704,-89.48,22.5375,24.0,5.08,3.293,0.696,0.689,0.0
465,465,0_466,0_30,1558.635,45.69242,17.7513,0.0318,269.8597,27.0,29.0,261.0,25.0,260.7216,26.7384,260.7216,26.7384,317.21255371693223,63.047352557282586,2.286,0.913,-78.51,0.07611,0.0334,-78.28,260.7216,26.7384,317.21255371693223,63.047352557282586,0.81842982976,1.6976483514,0.81842982976,1.6976483514,1.307,0.898,-83.56,1.30729,0.8983712,-83.56,22.5532,0.0,6.6,2.503,0.6,0.101,0.0
503,503,1_10,1_11,602.0423,37.96645,18.7841,0.0685,270.6937,16.0,19.0,772.0,1.0,771.6478999999999,0.8009999999999999,771.6478999999999,0.8009999999999999,316.8969767775317,63.06331548492828,2.364,0.88,-53.65,0.17166,0.06068,-54.07,771.6478999999999,0.8009999999999999,316.8969767775317,63.06331548492828,5.5619301859,4.1830610098,5.5619301859,4.1830610098,2.41,1.984,-21.26,2.409949,1.984222,-21.26,22.4512,27.0,8.24,2.686,0.628,0.001,1.0
615,615,1_122,1_397,3090.193,53.7021,17.0082,0.0189,268.7372,35.0,38.0,649.0,386.0,650.3441,385.317,650.3441,385.317,316.9580972386934,62.953348362535344,2.021,1.096,-17.54,0.03854,0.02419,-15.52,650.3441,385.317,316.9580972386934,62.953348362535344,2.4599645209,1.0267001989,2.4599645209,1.0267001989,1.623,0.923,-18.21,1.622935,0.9234436,-18.21,22.5538,0.0,8.91,1.844,0.458,0.024,1.0
724,724,1_231,1_289,1766.241,46.78238,17.6155,0.0288,267.7105,24.0,31.0,534.0,287.0,534.9291,285.7627,534.9291,285.7627,317.0330576736996,62.97937190247576,1.931,0.963,-52.39,0.06077,0.03314,-50.64,534.9291,285.7627,317.0330576736996,62.97937190247576,1.2583759208,1.6581495833,1.2583759208,1.6581495833,1.492,0.831,-52.54,1.492024,0.8308976,-52.54,22.5093,0.0,8.15,2.005,0.501,0.019,1.0
734,734,1_241,1_278,9813.729,74.01456,15.7535,0.0082,268.5343,53.0,62.0,606.0,272.0,607.6889,272.517,607.6889,272.517,316.9885787935176,62.98431329880256,2.016,1.272,33.6,0.01839,0.01346,36.94,607.6889,272.517,316.9885787935176,62.98431329880256,1.7463595459,1.1774374638,1.7463595459,1.1774374638,1.461,0.888,32.51,1.461407,0.887743,32.51,22.5017,0.0,8.37,1.585,0.369,0.209,1.0
768,768,1_275,1_243,782.2454,39.29082,18.4998,0.0545,268.7145,13.0,23.0,908.0,239.0,906.489,239.2788,906.489,239.2788,316.80501048687063,62.99851866200004,2.098,0.768,-30.94,0.13669,0.05147,-31.61,906.489,239.2788,316.80501048687063,62.99851866200004,1.8252343817,1.5415030313,1.8252343817,1.5415030313,1.511,1.041,-38.15,1.510732,1.041358,-38.15,22.5179,0.0,6.7,2.733,0.634,0.006,1.0
1027,1027,2_22,2_477,895.3189,69.21232,18.3532,0.084,287.2447,15.0,19.0,1351.0,509.0,1351.1144,508.751,1351.1144,508.751,316.52119056273943,62.929623599683225,1.692,1.041,-41.64,0.07552,0.04695,-42.52,1351.1144,508.751,316.52119056273943,62.929623599683225,8.2640178763,5.6925286316,8.2640178763,5.6925286316,2.89,2.367,-10.35,2.890111,2.367235,-10.35,21.79,25.0,7.94,1.625,0.385,0.0,2.0
1034,1034,2_29,2_478,169956.2,280.7187,12.6573,0.0018,280.1325,258.0,354.0,1379.0,456.0,1379.4673,456.3363,1379.4673,456.3363,316.50536793015743,62.94476345724314,8.827,1.331,89.79,0.01625,0.00221,-89.88,1379.4673,456.3363,316.50536793015743,62.94476345724314,0.23147387253,0.25370878588,0.23147387253,0.25370878588,0.51,0.475,65.29,0.5095913,0.4748677,65.29,22.3226,7.0,20.57,6.632,0.849,0.829,2.0
1140,1140,2_135,2_347,391.4429,26.08356,19.2515,0.0724,269.768,9.0,10.0,1004.0,360.0,1004.4532,359.9059,1004.4532,359.9059,316.74025786143375,62.9661842168066,1.28,0.498,89.56,0.12429,0.04429,89.84,1004.4532,359.9059,316.74025786143375,62.9661842168066,0.32238132384,0.76579050598,0.32238132384,0.76579050598,0.875,0.568,89.06,0.8751627,0.5676814,89.06,22.5259,24.0,3.45,2.571,0.611,0.6,2.0
1153,1153,2_148,2_334,678.3436,36.18126,18.6545,0.0579,270.4077,14.0,19.0,1222.0,348.0,1223.545,347.9629,1223.545,347.9629,316.6052476514695,62.97289721108052,1.843,0.776,-16.12,0.11669,0.05027,-16.49,1223.545,347.9629,316.6052476514695,62.97289721108052,1.8683004599,1.0997352141,1.8683004599,1.0997352141,1.4,1.005,-17.98,1.399543,1.004647,-17.98,22.5143,0.0,5.68,2.374,0.579,0.162,2.0
1277,1277,2_272,2_200,2665.926,63.42851,17.1685,0.0258,271.8545,40.0,52.0,1048.0,219.0,1047.2932,218.0542,1047.2932,218.0542,316.71863056780967,63.00669275261252,2.544,1.471,86.04,0.06796,0.0381,-88.69,1047.2932,218.0542,316.71863056780967,63.00669275261252,1.8731614487,3.1513472062,1.8731614487,3.1513472062,1.847,1.271,67.7,1.846568,1.270707,67.7,22.4842,0.0,7.41,1.729,0.422,0.034,2.0
1312,1312,2_307,2_165,90703.82,125.6023,13.3391,0.0015,278.5037,23.0,23.0,1046.0,175.0,1045.833,174.8667,1045.833,174.8667,316.7210127169185,63.018799715302265,1.027,0.842,-77.24,0.00149,0.00125,-74.24,1045.833,174.8667,316.7210127169185,63.018799715302265,0.11993401788,0.12496382705,0.11993401788,0.12496382705,0.354,0.346,-86.59,0.3535275,0.3462891,-86.59,22.903,3.0,-2.3,1.22,0.18,0.983,2.0
