col1,Unnamed: 0,NUMBER,ID_PARENT,FLUX_ISO,FLUXERR_ISO,MAG_ISO,MAGERR_ISO,BACKGROUND,ISOAREA_IMAGE,ISOAREAF_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,X_IMAGE,Y_IMAGE,X_IMAGE_DBL,Y_IMAGE_DBL,X_WORLD,Y_WORLD,A_IMAGE,B_IMAGE,THETA_IMAGE,ERRA_IMAGE,ERRB_IMAGE,ERRTHETA_IMAGE,XWIN_IMAGE,YWIN_IMAGE,XWIN_WORLD,YWIN_WORLD,X2WIN_IMAGE,Y2WIN_IMAGE,X2WIN_WORLD,Y2WIN_WORLD,AWIN_IMAGE,BWIN_IMAGE,THETAWIN_IMAGE,AWIN_WORLD,BWIN_WORLD,THETAWIN_WORLD,MU_THRESHOLD,FLAGS,FWHM_IMAGE,ELONGATION,ELLIPTICITY,CLASS_STAR,SUBDIV_NUMBER
5310,5310,25_11,25_179,48240.38,110.9004,14.5958,0.0025,473.3573,40.0,46.0,2180.0,1962.0,2179.868,1962.2049,2179.868,1962.2049,260.5392063189457,26.54221728499798,1.206,0.904,87.84,0.00356,0.00304,87.86,2179.868,1962.2049,260.5392063189457,26.54221728499798,0.12005118773,0.12666662754,0.12005118773,0.12666662754,0.356,0.346,83.99,0.3560066,0.3463771,83.99,23.2115,3.0,0.8,1.334,0.25,0.979,25.0
5335,5335,25_36,25_157,422.0623,26.6344,19.7409,0.0685,464.7615,6.0,7.0,2519.0,1928.0,2518.6377,1928.2427,2518.6377,1928.2427,260.4324370873434,26.54963980384509,0.929,0.474,84.08,0.09407,0.04385,81.93,2518.6377,1928.2427,260.4324370873434,26.54963980384509,0.09956493636,0.39720146078,0.09956493636,0.39720146078,0.63,0.316,-89.68,0.6302466,0.3155243,-89.68,22.8821,24.0,2.5,1.962,0.49,0.861,25.0
5586,5586,26_98,26_135,741.2896,39.70606,19.1293,0.0582,468.2565,12.0,15.0,2959.0,1803.0,2959.4655,1802.5193,2959.4655,1802.5193,260.2928892348761,26.58209564044597,1.117,0.912,-73.91,0.07071,0.05638,-78.45,2959.4655,1802.5193,260.2928892348761,26.58209564044597,0.60840954642,0.74155941745,0.60840954642,0.74155941745,0.861,0.78,-89.66,0.8611411,0.7800031,-89.66,22.9268,3.0,2.95,1.225,0.184,0.032,26.0
5636,5636,26_148,26_83,3842.239,76.97758,17.3429,0.0218,467.3759,52.0,55.0,2822.0,1684.0,2822.034,1683.7227,2822.034,1683.7227,260.3352436574947,26.616412157707288,1.914,1.611,-62.15,0.04572,0.03781,-58.79,2822.034,1683.7227,260.3352436574947,26.616412157707288,1.7017895155,1.9596499423,1.7017895155,1.9596499423,1.413,1.291,-70.63,1.412811,1.290506,-70.63,22.9243,2.0,4.38,1.188,0.158,0.01,26.0
5637,5637,26_149,26_83,1776.269,53.72732,18.1805,0.0328,467.4137,21.0,27.0,2827.0,1684.0,2827.1271,1683.6581,2827.1271,1683.6581,260.3336408156213,26.61639659976718,1.284,1.069,75.84,0.04954,0.03747,77.82,2827.1271,1683.6581,260.3336408156213,26.61639659976718,0.84764203586,0.89437216491,0.84764203586,0.89437216491,0.972,0.893,54.28,0.9718274,0.8930653,54.28,22.9244,3.0,2.48,1.202,0.168,0.016,26.0
5761,5761,27_44,27_188,22585.48,85.25907,15.4197,0.0041,464.5292,32.0,39.0,2560.0,1930.0,2560.6601,1930.131,2560.6601,1930.131,260.41923546028863,26.54883959281108,1.401,0.81,84.52,0.00939,0.00581,82.27,2560.6601,1930.131,260.41923546028863,26.54883959281108,0.11859353712,0.42110090259,0.11859353712,0.42110090259,0.649,0.344,87.92,0.6492309,0.3437931,87.92,22.8666,24.0,2.02,1.729,0.421,0.999,27.0
5951,5951,28_6,28_1,360.4192,26.85162,19.9123,0.0809,456.9803,6.0,8.0,229.0,2008.0,229.3903,2008.3286,229.3903,2008.3286,261.15262877628874,26.53999029909194,1.225,0.44,8.22,0.14686,0.04964,8.64,229.3903,2008.3286,261.15262877628874,26.53999029909194,0.93605109018,0.28447723054,0.93605109018,0.28447723054,0.97,0.528,5.31,0.970422,0.5280242,5.31,22.9368,24.0,4.35,2.781,0.64,0.335,28.0
5981,5981,28_36,28_237,729.1694,39.40783,19.1472,0.0587,457.4261,16.0,16.0,1.0,2443.0,0.9033,2443.0155,0.9033,2443.0155,261.22665388158003,26.418891515591717,1.433,0.816,-74.98,0.09699,0.05469,-73.71,0.9033,2443.0155,261.22665388158003,26.418891515591717,1.0062350059,1.5490967134,1.0062350059,1.5490967134,1.25,0.996,-80.94,1.25031,0.9960207,-80.94,22.8942,24.0,6.45,1.756,0.431,0.0,28.0
6190,6190,28_245,28_31,272.3381,23.40053,20.2165,0.0933,456.4731,6.0,6.0,0.0,2067.0,0.4994,2067.0566,0.4994,2067.0566,261.2248776424164,26.524575984347518,0.761,0.5,89.85,0.09582,0.05877,90.0,0.4994,2067.0566,261.2248776424164,26.524575984347518,0.24611610497,0.29401744649,0.24611610497,0.29401744649,0.543,0.496,-84.75,0.5426098,0.4956896,-84.75,22.9307,24.0,1.68,1.522,0.343,0.546,28.0
6230,6230,29_12,29_221,164210.3,468.2558,13.2658,0.0031,458.901,1787.0,2163.0,598.0,2251.0,596.2615,2260.9604,596.2615,2260.9604,261.03872073956427,26.46714130985166,146.561,1.243,-72.56,0.45082,0.00389,-72.56,596.2615,2260.9604,261.03872073956427,26.46714130985166,1061.6519317,5881.5631759,1061.6519317,5881.5631759,79.613,24.597,-73.61,79.61282,24.59703,-73.61,22.9206,26.0,35.96,117.916,0.992,0.548,29.0
