,Unnamed: 0,NUMBER,ID_PARENT,FLUX_ISO,FLUXERR_ISO,MAG_ISO,MAGERR_ISO,BACKGROUND,ISOAREA_IMAGE,ISOAREAF_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,X_IMAGE,Y_IMAGE,X_IMAGE_DBL,Y_IMAGE_DBL,X_WORLD,Y_WORLD,A_IMAGE,B_IMAGE,THETA_IMAGE,ERRA_IMAGE,ERRB_IMAGE,ERRTHETA_IMAGE,XWIN_IMAGE,YWIN_IMAGE,XWIN_WORLD,YWIN_WORLD,X2WIN_IMAGE,Y2WIN_IMAGE,X2WIN_WORLD,Y2WIN_WORLD,AWIN_IMAGE,BWIN_IMAGE,THETAWIN_IMAGE,AWIN_WORLD,BWIN_WORLD,THETAWIN_WORLD,MU_THRESHOLD,FLAGS,FWHM_IMAGE,ELONGATION,ELLIPTICITY,CLASS_STAR,SUBDIV_NUMBER
0,0,0_1,0_4,892.7509,11.99967,18.7465,0.0146,0.0002947172,13.0,13.0,207.0,12.0,206.6683,11.6816,206.6683,11.6816,43.38243895271821,-21.3875330129911,0.735,0.637,-60.41,0.01082,0.00938,-59.22,206.6683,11.6816,43.38243895271821,-21.3875330129911,0.2534711331,0.2542410234,0.2534711331,0.2542410234,0.528,0.479,-45.45,0.5275042,0.4790109,-45.45,99.0,0.0,1.67,1.154,0.133,1.0,0.0
1,1,0_2,0_3,2010.51,18.00766,17.865,0.0097,0.0004548182,56.0,56.0,265.0,3.0,264.6771,3.924,264.6771,3.924,43.36494701659184,-21.385151519701772,1.751,1.314,-15.79,0.01821,0.01421,-11.32,264.6771,3.924,43.36494701659184,-21.385151519701772,1.442139573,0.99132135048,1.442139573,0.99132135048,1.225,0.966,-18.68,1.224877,0.965991,-18.68,99.0,16.0,4.93,1.333,0.25,0.963,0.0
2,2,0_3,0_2,647.0631,10.21592,19.0959,0.0171,0.0004633903,10.0,10.0,295.0,3.0,294.6554,3.5145,294.6554,3.5145,43.35589366413858,-21.38493240037101,0.646,0.542,12.43,0.01136,0.00944,7.9,294.6554,3.5145,43.35589366413858,-21.38493240037101,0.22516717535,0.25284275366,0.22516717535,0.25284275366,0.504,0.473,77.32,0.504301,0.4729592,77.32,99.0,16.0,1.24,1.192,0.161,1.0,0.0
3,3,0_4,0_1,876.5479,11.89028,18.7664,0.0147,0.0001411474,13.0,13.0,416.0,3.0,416.6056,2.911,416.6056,2.911,43.319061589625285,-21.384333926253948,0.819,0.499,13.47,0.0123,0.00756,13.15,416.6056,2.911,43.319061589625285,-21.384333926253948,0.3153521514,0.13092646812,0.3153521514,0.13092646812,0.563,0.359,5.92,0.5633453,0.3590554,5.92,99.0,16.0,1.78,1.643,0.391,1.0,0.0
4,4,0_5,0_41,4.704289,0.8710662,24.4421,0.2011,-5.386208e-05,1.0,1.0,318.0,468.0,318.0,468.0,318.0,468.0,43.34705692418704,-21.515526785174288,0.289,0.289,45.0,0.08138,0.08138,45.0,318.0,468.0,43.34705692418704,-21.515526785174288,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,99.0,0.0,0.0,1.0,0.0,0.372,0.0
5,5,0_6,0_40,341.3145,7.419618,19.7904,0.0236,1.422751e-05,17.0,17.0,63.0,448.0,62.788,447.68,62.788,447.68,43.42427345061371,-21.51067726721877,0.918,0.711,49.68,0.02437,0.02118,69.23,62.788,447.68,43.42427345061371,-21.51067726721877,0.34176906814,0.35653793969,0.34176906814,0.35653793969,0.669,0.5,47.15,0.6692052,0.5004711,47.15,99.0,0.0,2.55,1.29,0.225,1.0,0.0
6,6,0_7,0_39,167.9199,5.204216,20.5605,0.0337,0.001449266,8.0,8.0,473.0,446.0,472.7594,446.282,472.7594,446.282,43.3003631702994,-21.50886948020099,0.547,0.491,5.8,0.02204,0.01974,28.64,472.7594,446.282,43.3003631702994,-21.50886948020099,0.14432992056,0.13003638461,0.14432992056,0.13003638461,0.381,0.36,10.5,0.3805759,0.3599004,10.5,99.0,0.0,1.2,1.115,0.103,1.0,0.0
7,7,0_8,0_38,61354.23,99.47786,14.1537,0.0018,-7.287222e-05,16.0,16.0,206.0,440.0,206.495,440.2655,206.495,440.2655,43.380865130664894,-21.508107417070928,0.515,0.498,38.59,0.00084,0.00081,40.19,206.495,440.2655,43.380865130664894,-21.508107417070928,0.2496923196,0.1290839016,0.2496923196,0.1290839016,0.5,0.359,2.04,0.499845,0.3590699,2.04,99.0,0.0,1.02,1.032,0.031,1.0,0.0
8,8,0_9,0_37,45732.14,85.88453,14.4727,0.002,0.0,14.0,14.0,356.0,431.0,356.0679,430.6943,356.0679,430.6943,43.33569327193347,-21.504896857304608,0.523,0.425,88.04,0.00099,0.0008,88.09,356.0679,430.6943,43.33569327193347,-21.504896857304608,0.107497543,0.15133342726,0.107497543,0.15133342726,0.389,0.328,89.92,0.3890161,0.327868,89.92,99.0,0.0,1.03,1.231,0.187,1.0,0.0
9,9,0_10,0_36,92.70145,3.866762,21.2056,0.0453,-0.08239985,7.0,7.0,220.0,430.0,220.2648,429.742,220.2648,429.742,43.37674283039868,-21.50509935353672,0.661,0.423,73.16,0.03778,0.0253,67.44,220.2648,429.742,43.37674283039868,-21.50509935353672,0.11411995111,0.2524917416,0.11411995111,0.2524917416,0.507,0.331,79.79,0.5070832,0.3308752,79.79,28.8606,0.0,2.26,1.563,0.36,0.938,0.0
