,Unnamed: 0,NUMBER,ID_PARENT,FLUX_ISO,FLUXERR_ISO,MAG_ISO,MAGERR_ISO,BACKGROUND,ISOAREA_IMAGE,ISOAREAF_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,X_IMAGE,Y_IMAGE,X_IMAGE_DBL,Y_IMAGE_DBL,X_WORLD,Y_WORLD,A_IMAGE,B_IMAGE,THETA_IMAGE,ERRA_IMAGE,ERRB_IMAGE,ERRTHETA_IMAGE,XWIN_IMAGE,YWIN_IMAGE,XWIN_WORLD,YWIN_WORLD,X2WIN_IMAGE,Y2WIN_IMAGE,X2WIN_WORLD,Y2WIN_WORLD,AWIN_IMAGE,BWIN_IMAGE,THETAWIN_IMAGE,AWIN_WORLD,BWIN_WORLD,THETAWIN_WORLD,MU_THRESHOLD,FLAGS,FWHM_IMAGE,ELONGATION,ELLIPTICITY,CLASS_STAR,SUBDIV_NUMBER
1599,1599,22_43,22_22,278.9668,20.23943,20.2917,0.0788,187.9191,5.0,8.0,696.0,1684.0,696.1998,1684.7307,696.1998,1684.7307,142.3911566590779,27.51136253366141,0.774,0.671,41.08,0.07962,0.06476,46.39,696.1998,1684.7307,142.3911566590779,27.51136253366141,0.37790362149,0.32661692744,0.37790362149,0.32661692744,0.616,0.57,-10.44,0.6162028,0.5699251,-10.44,23.3745,0.0,3.52,1.153,0.133,0.744,22.0
1600,1600,22_44,22_21,1951.819,58.51977,18.1795,0.0326,188.4164,59.0,68.0,743.0,1675.0,742.3213000000001,1675.0044,742.3213000000001,1675.0044,142.37649413292945,27.513948560869064,2.828,1.576,34.89,0.09326,0.05244,34.07,742.3213000000001,1675.0044,142.37649413292945,27.513948560869064,5.520182421,4.8471938838,5.520182421,4.8471938838,2.561,1.951,37.92,2.561261,1.951235,37.92,23.4065,0.0,8.8,1.794,0.443,0.0,22.0
1601,1601,22_45,22_20,550.0751,27.77467,19.5545,0.0548,187.6328,13.0,15.0,639.0,1675.0,638.6225,1674.9059,638.6225,1674.9059,142.4093817743443,27.51431030994225,1.078,0.889,78.85,0.07029,0.05369,80.49,638.6225,1674.9059,142.4093817743443,27.51431030994225,0.67341380255,0.71248924156,0.67341380255,0.71248924156,0.846,0.819,74.81,0.8459297,0.8187221,74.81,23.3566,0.0,2.89,1.212,0.175,0.225,22.0
1602,1602,22_46,22_19,3151.713,45.86218,17.6592,0.0158,187.7709,28.0,35.0,547.0,1665.0,547.2122,1665.1216,547.2122,1665.1216,142.43833913535002,27.517349743956757,1.303,1.168,77.07,0.02493,0.0221,74.37,547.2122,1665.1216,142.43833913535002,27.517349743956757,0.4860958652,0.55118778551,0.4860958652,0.55118778551,0.745,0.694,76.49,0.7450994,0.6943418,76.49,23.3554,0.0,2.07,1.116,0.104,0.97,22.0
1603,1603,22_47,22_18,23623.06,114.4104,15.4722,0.0053,188.154,189.0,202.0,766.0,1660.0,766.1612,1660.5307,766.1612,1660.5307,142.36888019380956,27.51794146622352,4.22,1.707,17.45,0.0293,0.01092,16.94,766.1612,1660.5307,142.36888019380956,27.51794146622352,3.4240211457,1.8690774095,3.4240211457,1.8690774095,1.907,1.287,19.11,1.906853,1.287249,19.11,23.3877,0.0,6.63,2.473,0.596,0.029,22.0
1604,1604,22_48,22_17,2163.192,41.89603,18.0678,0.021,187.9877,24.0,31.0,690.0,1663.0,690.5353,1663.5935,690.5353,1663.5935,142.39287658908503,27.51732583997569,1.258,1.178,-87.23,0.03049,0.02977,-51.31,690.5353,1663.5935,142.39287658908503,27.51732583997569,0.50334724096,0.5790581477,0.50334724096,0.5790581477,0.762,0.709,83.55,0.7616023,0.7087787,83.55,23.3814,0.0,2.25,1.068,0.064,0.977,22.0
1605,1605,22_49,22_16,139.1789,15.79217,21.0466,0.1232,188.2218,4.0,5.0,689.0,1640.0,688.7605,1639.6109,688.7605,1639.6109,142.3933527074285,27.52407687542712,0.729,0.456,17.58,0.11446,0.06646,18.28,688.7605,1639.6109,142.3933527074285,27.52407687542712,0.51990181752,0.40122171604,0.51990181752,0.40122171604,0.723,0.631,9.54,0.7234295,0.6306927,9.54,23.393,0.0,2.67,1.598,0.374,0.484,22.0
1606,1606,22_50,22_15,134.9837,15.89876,21.0799,0.1279,188.2581,4.0,5.0,802.0,1633.0,801.9963,1633.0288,801.9963,1633.0288,142.35741299377213,27.525558611636363,0.607,0.603,1.5,0.09494,0.09488,-79.68,801.9963,1633.0288,142.35741299377213,27.525558611636363,0.37918001211,0.34494701719,0.37918001211,0.34494701719,0.626,0.576,-27.61,0.6261501,0.5762492,-27.61,23.3856,0.0,1.64,1.006,0.005,0.386,22.0
1607,1607,22_51,22_14,562.7076,29.55192,19.5299,0.057,187.7017,13.0,17.0,795.0,1621.0,795.0018,1621.3338,795.0018,1621.3338,142.35958815873994,27.528871023648808,1.046,1.036,-17.02,0.06621,0.06343,-0.3,795.0018,1621.3338,142.35958815873994,27.528871023648808,0.79221631889,0.86447327019,0.79221631889,0.86447327019,0.93,0.889,-82.93,0.9303783,0.8894301,-82.93,23.3508,0.0,3.02,1.01,0.009,0.027,22.0
1609,1609,22_53,22_12,179.2016,17.13993,20.7722,0.1039,188.4545,6.0,6.0,988.0,1613.0,987.9885,1613.5149,987.9885,1613.5149,142.2983470380742,27.53041932933921,0.783,0.5,-1.49,0.10043,0.0617,-0.12,987.9885,1613.5149,142.2983470380742,27.53041932933921,0.66464059277,0.6643493285,0.66464059277,0.6643493285,0.852,0.777,-44.93,0.8515887,0.7770371,-44.93,23.3938,0.0,3.57,1.568,0.362,0.051,22.0
