col1,Unnamed: 0,NUMBER,ID_PARENT,FLUX_ISO,FLUXERR_ISO,MAG_ISO,MAGERR_ISO,BACKGROUND,ISOAREA_IMAGE,ISOAREAF_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,X_IMAGE,Y_IMAGE,X_IMAGE_DBL,Y_IMAGE_DBL,X_WORLD,Y_WORLD,A_IMAGE,B_IMAGE,THETA_IMAGE,ERRA_IMAGE,ERRB_IMAGE,ERRTHETA_IMAGE,XWIN_IMAGE,YWIN_IMAGE,XWIN_WORLD,YWIN_WORLD,X2WIN_IMAGE,Y2WIN_IMAGE,X2WIN_WORLD,Y2WIN_WORLD,AWIN_IMAGE,BWIN_IMAGE,THETAWIN_IMAGE,AWIN_WORLD,BWIN_WORLD,THETAWIN_WORLD,MU_THRESHOLD,FLAGS,FWHM_IMAGE,ELONGATION,ELLIPTICITY,CLASS_STAR,SUBDIV_NUMBER
618,618,17_29,17_12,2966.177,69.58855,17.5319,0.0255,404.0781,53.0,56.0,1620.0,1136.0,1619.8626,1136.6288,1619.8626,1136.6288,192.3637624991335,27.613868214148592,2.319,1.479,76.97,0.06449,0.04147,77.9,1619.8626,1136.6288,192.3637624991335,27.613868214148592,2.4407248525,3.3191027334,2.4407248525,3.3191027334,1.846,1.534,73.16,1.845982,1.533681,73.16,22.9232,0.0,6.69,1.568,0.362,0.01,17.0
619,619,17_30,17_11,750.3566,39.30378,19.0242,0.0569,401.6173,17.0,18.0,1989.0,1115.0,1989.4539,1114.7112,1989.4539,1114.7112,192.24623010501324,27.61691738862971,1.209,0.996,-86.2,0.07925,0.06437,89.93,1989.4539,1114.7112,192.24623010501324,27.61691738862971,1.0365187177,1.2390459842,1.0365187177,1.2390459842,1.117,1.014,-79.05,1.116658,1.014219,-79.05,22.9032,0.0,4.93,1.214,0.177,0.127,17.0
620,620,17_31,17_10,266.1127,27.39874,20.1497,0.1118,403.8843,6.0,9.0,1686.0,1115.0,1685.9822,1115.012,1685.9822,1115.012,192.3425655258049,27.619396086899343,0.807,0.783,-43.26,0.09347,0.0933,-41.6,1685.9822,1115.012,192.3425655258049,27.619396086899343,1.3621716501,1.387142139,1.3621716501,1.387142139,1.209,1.135,-49.14,1.208877,1.13487,-49.14,22.9043,0.0,4.72,1.03,0.029,0.487,17.0
621,621,17_32,17_9,7093.667,73.55149,16.5852,0.0113,402.0517,49.0,55.0,1878.0,1100.0,1877.7089,1100.5454,1877.7089,1100.5454,192.2815622395774,27.62185153461033,1.604,1.453,69.76,0.02265,0.02005,71.78,1877.7089,1100.5454,192.2815622395774,27.62185153461033,0.9355380286,0.95112648825,0.9355380286,0.95112648825,0.993,0.949,50.21,0.9931774,0.948822,50.21,22.8909,0.0,3.01,1.104,0.094,0.979,17.0
622,622,17_33,17_8,1464.598,50.64014,18.2981,0.0375,403.9622,27.0,30.0,1606.0,1096.0,1605.6396,1095.4535,1605.6396,1095.4535,192.3678850982733,27.62556120239372,1.434,1.294,48.76,0.05847,0.05223,45.62,1605.6396,1095.4535,192.3678850982733,27.62556120239372,1.5143859299,1.6001581497,1.5143859299,1.6001581497,1.278,1.218,62.46,1.27757,1.217522,62.46,22.9266,0.0,4.1,1.109,0.098,0.104,17.0
623,623,17_34,17_7,288.1145,28.67862,20.0635,0.1081,404.5137,8.0,10.0,1585.0,1064.0,1585.0154,1064.1628,1585.0154,1064.1628,192.3741352084892,27.63452808949414,0.936,0.758,89.16,0.10407,0.08233,-89.95,1585.0154,1064.1628,192.3741352084892,27.63452808949414,1.2010457602,1.592301765,1.2010457602,1.592301765,1.263,1.095,86.31,1.262513,1.095175,86.31,22.979,0.0,5.01,1.235,0.19,0.062,17.0
626,626,17_37,17_4,1780.335,49.43971,18.0862,0.0302,402.0219,26.0,28.0,1861.0,1026.0,1861.3828,1026.308,1861.3828,1026.308,192.2860227009156,27.642858179198964,1.356,1.183,48.79,0.04713,0.04173,47.67,1861.3828,1026.308,192.2860227009156,27.642858179198964,0.89418657773,0.91213809588,0.89418657773,0.91213809588,0.996,0.903,47.92,0.9957051,0.9027159,47.92,22.8908,0.0,3.19,1.146,0.128,0.939,17.0
627,627,17_38,17_3,187.6309,21.82234,20.5291,0.1263,401.3642,5.0,6.0,1984.0,1027.0,1984.1692,1027.1781,1984.1692,1027.1781,192.24704799621492,27.641567809929533,0.752,0.567,43.68,0.11428,0.08448,44.95,1984.1692,1027.1781,192.24704799621492,27.641567809929533,0.68828843662,0.6756911997,0.68828843662,0.6756911997,0.831,0.82,23.87,0.8314785,0.820136,23.87,22.9126,0.0,2.82,1.327,0.246,0.489,17.0
628,628,17_39,17_2,348.3369,27.75283,19.8574,0.0865,403.5554,6.0,9.0,1700.0,1025.0,1699.6814,1024.7224,1699.6814,1024.7224,192.33734937142,27.644663517824544,0.875,0.727,9.95,0.09099,0.07552,7.67,1699.6814,1024.7224,192.33734937142,27.644663517824544,0.58303861589,0.53964651111,0.58303861589,0.53964651111,0.779,0.718,31.02,0.7794887,0.7176925,31.02,22.9012,0.0,3.33,1.203,0.169,0.58,17.0
632,632,18_4,18_36,489.3758,26.20029,19.4883,0.0581,400.0084,7.0,8.0,2189.0,1515.0,2188.8756,1514.6413,2188.8756,1514.6413,192.18691948230088,27.502774156409416,1.055,0.479,-1.93,0.09346,0.03715,-0.2,2188.8756,1514.6413,192.18691948230088,27.502774156409416,0.52945809104,0.16132422572,0.52945809104,0.16132422572,0.728,0.4,-2.99,0.7283323,0.4003927,-2.99,22.895,24.0,3.61,2.205,0.547,0.535,18.0
