col1_1,Unnamed: 0_1,NUMBER_1,ID_PARENT_1,FLUX_ISO_1,FLUXERR_ISO_1,MAG_ISO_1,MAGERR_ISO_1,BACKGROUND_1,ISOAREA_IMAGE_1,ISOAREAF_IMAGE_1,XPEAK_IMAGE_1,YPEAK_IMAGE_1,X_IMAGE_1,Y_IMAGE_1,X_IMAGE_DBL_1,Y_IMAGE_DBL_1,X_WORLD_1,Y_WORLD_1,A_IMAGE_1,B_IMAGE_1,THETA_IMAGE_1,ERRA_IMAGE_1,ERRB_IMAGE_1,ERRTHETA_IMAGE_1,XWIN_IMAGE_1,YWIN_IMAGE_1,XWIN_WORLD_1,YWIN_WORLD_1,X2WIN_IMAGE_1,Y2WIN_IMAGE_1,X2WIN_WORLD_1,Y2WIN_WORLD_1,AWIN_IMAGE_1,BWIN_IMAGE_1,THETAWIN_IMAGE_1,AWIN_WORLD_1,BWIN_WORLD_1,THETAWIN_WORLD_1,MU_THRESHOLD_1,FLAGS_1,FWHM_IMAGE_1,ELONGATION_1,ELLIPTICITY_1,CLASS_STAR_1,SUBDIV_NUMBER_1,col1_2,Unnamed: 0_2,NUMBER_2,ID_PARENT_2,FLUX_ISO_2,FLUXERR_ISO_2,MAG_ISO_2,MAGERR_ISO_2,BACKGROUND_2,ISOAREA_IMAGE_2,ISOAREAF_IMAGE_2,XPEAK_IMAGE_2,YPEAK_IMAGE_2,X_IMAGE_2,Y_IMAGE_2,X_IMAGE_DBL_2,Y_IMAGE_DBL_2,X_WORLD_2,Y_WORLD_2,A_IMAGE_2,B_IMAGE_2,THETA_IMAGE_2,ERRA_IMAGE_2,ERRB_IMAGE_2,ERRTHETA_IMAGE_2,XWIN_IMAGE_2,YWIN_IMAGE_2,XWIN_WORLD_2,YWIN_WORLD_2,X2WIN_IMAGE_2,Y2WIN_IMAGE_2,X2WIN_WORLD_2,Y2WIN_WORLD_2,AWIN_IMAGE_2,BWIN_IMAGE_2,THETAWIN_IMAGE_2,AWIN_WORLD_2,BWIN_WORLD_2,THETAWIN_WORLD_2,MU_THRESHOLD_2,FLAGS_2,FWHM_IMAGE_2,ELONGATION_2,ELLIPTICITY_2,CLASS_STAR_2,SUBDIV_NUMBER_2,GroupID,GroupSize,Separation
22429,22429,25_3,25_465,18239.8,77.75217,15.5599,0.0046,1.448547,6878.0,6878.0,2113.0,1674.0,2113.1051,1674.0099,2113.1051,1674.0099,192.21252393337053,27.4586283363508,68.674,35.965,-5.35,0.32243,0.1716,-4.38,2113.1051,1674.0099,192.21252393337053,27.4586283363508,4686.4051987,1323.2066371,4686.4051987,1323.2066371,68.674,35.965,-5.35,68.6743,35.96459,-5.35,25.7529,19.0,4.18,1.909,0.476,0.005,25.0,968,968,25_35,25_11,938.4791,45.13673,18.7813,0.0522,399.6552,21.0,25.0,2113.0,1674.0,2113.2075,1674.1725,2113.2075,1674.1725,192.2124930843139,27.45858174217669,1.528,1.113,67.64,0.08702,0.06336,66.35,2113.2075,1674.1725,192.2124930843139,27.45858174217669,1.7996563914,2.3556896168,1.7996563914,2.3556896168,1.555,1.318,72.32,1.555179,1.317863,72.32,22.8887,0.0,5.59,1.372,0.271,0.08,25.0,,,0.1921575395343971
22432,22432,25_6,25_318,2551.69,31.37697,17.6953,0.0134,2.882186,1025.0,1025.0,2229.0,1619.0,2229.3667,1618.9439,2229.3667,1618.9439,192.17512203818416,27.47310080859075,25.978,8.009,37.42,0.25948,0.07816,37.36,2229.3667,1618.9439,192.17512203818416,27.47310080859075,0.091779190683,0.081206656002,0.091779190683,0.081206656002,0.303,0.285,1.46,0.3029622,0.2849557,1.46,27.2253,19.0,3.02,3.244,0.692,0.027,25.0,972,972,25_39,25_7,570.9163,34.51505,19.321,0.0657,399.9814,13.0,14.0,2229.0,1619.0,2229.4741,1618.9848,2229.4741,1618.9848,192.1750884000156,27.473088374980957,1.038,0.896,40.26,0.07457,0.0655,47.95,2229.4741,1618.9848,192.1750884000156,27.473088374980957,0.83905565591,0.7756025578,0.83905565591,0.7756025578,0.937,0.859,31.58,0.9368083,0.8585151,31.58,22.8996,0.0,2.86,1.158,0.136,0.506,25.0,,,0.11492419240512122
22468,22468,25_42,25_38,6508.09,35.66016,16.6788,0.006,1.135622,245.0,245.0,2050.0,1519.0,2049.8175,1519.0579,2049.8175,1519.0579,192.2310579649114,27.502733624150935,3.087,2.146,36.44,0.02037,0.01271,31.23,2049.8175,1519.0579,192.2310579649114,27.502733624150935,1.4793739747,1.7863423898,1.4793739747,1.7863423898,1.35,1.201,71.96,1.350098,1.201229,71.96,25.3765,16.0,4.01,1.438,0.305,0.45,25.0,934,934,25_1,25_3,4910.488,80.8895,16.9846,0.0179,401.4084,65.0,73.0,2050.0,1519.0,2049.6652,1519.3711,2049.6652,1519.3711,192.2311093472212,27.5026468839445,2.232,1.755,71.91,0.04445,0.0352,69.88,2049.6652,1519.3711,192.2311093472212,27.5026468839445,2.0511473282,2.473788653,2.0511473282,2.473788653,1.59,1.413,71.45,1.589775,1.413347,71.45,22.8747,16.0,5.27,1.272,0.214,0.012,25.0,,,0.3482664640761323
22482,22482,25_56,25_22,9995.293,41.1955,16.2129,0.0045,1.425236,69.0,69.0,2189.0,1517.0,2188.8496,1517.2325,2188.8496,1517.2325,192.18695353239656,27.5020459629479,1.089,1.056,67.6,0.00468,0.00453,73.97,2188.8496,1517.2325,192.18695353239656,27.5020459629479,0.44577250181,0.45027568959,0.44577250181,0.45027568959,0.676,0.662,52.1,0.6761691,0.6624527,52.1,25.349,0.0,1.88,1.031,0.03,0.981,25.0,935,935,25_2,25_2,7966.197,72.50771,16.4593,0.0099,399.8785,48.0,52.0,2189.0,1517.0,2188.8989,1517.5672,2188.8989,1517.5672,192.18694123333185,27.50195144603826,1.593,1.42,83.77,0.01979,0.01651,-87.39,2188.8989,1517.5672,192.18694123333185,27.50195144603826,0.90259884095,0.94628109176,0.90259884095,0.94628109176,0.983,0.94,60.89,0.9828125,0.9396593,60.89,22.8949,0.0,3.03,1.122,0.109,0.981,25.0,,,0.33831136546077695
22530,22530,25_104,25_749,2533.407,28.71074,17.7031,0.0123,2.895328,636.0,636.0,2436.0,1967.0,2436.2707,1966.7922,2436.2707,1966.7922,192.1130581848915,27.37349713195737,11.487,5.689,74.56,0.11734,0.05832,73.6,2436.2707,1966.7922,192.1130581848915,27.37349713195737,1.6913375816,1.6173096268,1.6913375816,1.6173096268,1.32,1.252,32.53,1.319881,1.251623,32.53,26.9025,19.0,3.18,2.019,0.505,0.029,25.0,939,939,25_6,25_41,969.6469,41.72448,18.7459,0.0467,398.3331,20.0,21.0,2436.0,1967.0,2436.2075,1966.9832,2436.2075,1966.9832,192.11308013695756,27.373443996992552,1.259,1.082,55.87,0.06725,0.05654,54.18,2436.2075,1966.9832,192.11308013695756,27.373443996992552,1.217780232,1.2724645972,1.217780232,1.2724645972,1.155,1.076,54.01,1.154765,1.075529,54.01,22.878,0.0,3.87,1.164,0.141,0.415,25.0,,,0.20118459185517037
22554,22554,25_128,25_732,1643.343,25.06513,18.1731,0.0166,2.944939,575.0,575.0,2295.0,1938.0,2294.7779,1937.4317,2294.7779,1937.4317,192.15758089517425,27.38299556679327,12.397,5.198,23.26,0.15293,0.06475,22.73,2294.7779,1937.4317,192.15758089517425,27.38299556679327,1.5524451138,1.5181850714,1.5524451138,1.5181850714,1.265,1.213,37.21,1.264554,1.213067,37.21,26.9183,3.0,3.68,2.385,0.581,0.021,25.0,942,942,25_9,25_38,424.7053,32.84386,19.6422,0.084,399.4024,11.0,13.0,2295.0,1938.0,2294.6157,1937.6212,2294.6157,1937.6212,192.1576341758419,27.382943710623667,1.036,0.856,47.96,0.09283,0.07896,45.19,2294.6157,1937.6212,192.1576341758419,27.382943710623667,1.1969600107,1.2504621791,1.1969600107,1.2504621791,1.166,1.043,50.64,1.166402,1.042558,50.64,22.8935,0.0,3.69,1.211,0.174,0.361,25.0,,,0.24943754729400855
22555,22555,25_129,25_732,3870.469,36.04204,17.243,0.0101,1.542236,1095.0,1095.0,2305.0,1923.0,2305.3469,1922.4491,2305.3469,1922.4491,192.1540825825188,27.387115168426558,36.148,14.69,38.32,0.34253,0.15147,38.69,2305.3469,1922.4491,192.1540825825188,27.387115168426558,887.25403638,635.21025928,887.25403638,635.21025928,36.148,14.69,38.32,36.14783,14.69009,38.32,25.6083,19.0,138.34,2.461,0.594,0.001,25.0,944,944,25_11,25_36,211.6862,24.00272,20.3982,0.1231,398.7701,7.0,7.0,2305.0,1923.0,2304.999,1922.7273,2304.999,1922.7273,192.15419558267985,27.387040003065568,0.733,0.696,6.15,0.10184,0.09442,0.2,2304.999,1922.7273,192.15419558267985,27.387040003065568,1.2328933273,1.552511075,1.2328933273,1.552511075,1.266,1.088,69.81,1.265896,1.087618,69.81,22.8659,0.0,4.23,1.054,0.051,0.059,25.0,,,0.44545443089066755
22556,22556,25_130,25_732,3575.879,42.18746,17.3289,0.0128,2.937743,2047.0,2047.0,2334.0,1907.0,2333.9628,1907.4358,2333.9628,1907.4358,192.1448666563843,27.3910850530849,42.843,19.812,7.66,0.33243,0.15121,5.96,2333.9628,1907.4358,192.1448666563843,27.3910850530849,1309.5151093,1126.9078062,1309.5151093,1126.9078062,36.292,33.456,11.28,36.29169,33.45648,11.28,27.2032,19.0,90.2,2.162,0.538,0.0,25.0,946,946,25_13,25_34,214.8152,22.2099,20.3822,0.1123,398.3609,6.0,6.0,2334.0,1907.0,2333.9666,1907.4877,2333.9666,1907.4877,192.1448659744665,27.391070429332583,0.79,0.5,0.38,0.10379,0.06364,0.07,2333.9666,1907.4877,192.1448659744665,27.391070429332583,0.89550734046,0.83432265045,0.89550734046,0.83432265045,0.947,0.913,4.63,0.9465259,0.9131916,4.63,22.8585,0.0,2.71,1.581,0.367,0.485,25.0,,,0.052038927736801945
22557,22557,25_131,25_732,1704.186,25.3595,18.1336,0.0162,2.961344,653.0,653.0,2262.0,1881.0,2261.6967,1881.1342,2261.6967,1881.1342,192.16749695256,27.39911131505766,13.567,5.902,83.65,0.16411,0.07198,83.19,2261.6967,1881.1342,192.16749695256,27.39911131505766,0.35177183733,0.36915409345,0.35177183733,0.36915409345,0.61,0.591,70.35,0.6096682,0.5909574,70.35,27.3372,3.0,4.01,2.299,0.565,0.018,25.0,949,949,25_16,25_31,380.3765,30.36611,19.7619,0.0867,399.5654,11.0,11.0,2262.0,1882.0,2261.8877,1881.5962,2261.8877,1881.5962,192.167441062919,27.398979767644025,1.05,0.741,74.76,0.09909,0.06989,74.88,2261.8877,1881.5962,192.167441062919,27.398979767644025,1.2356560936,1.5161305734,1.2356560936,1.5161305734,1.255,1.085,67.55,1.254553,1.085303,67.55,22.8993,0.0,5.25,1.417,0.294,0.23,25.0,,,0.4999249943742447
22560,22560,25_134,25_732,1573.338,18.93902,18.2204,0.0131,2.979181,205.0,205.0,2253.0,1845.0,2252.8615,1844.8355,2252.8615,1844.8355,192.1699331516978,27.409392945573337,3.55,2.938,3.3,0.0517,0.04262,0.28,2252.8615,1844.8355,192.1699331516978,27.409392945573337,0.95282105825,0.92833001754,0.95282105825,0.92833001754,0.977,0.963,13.17,0.9768524,0.9627619,13.17,27.4613,3.0,2.85,1.208,0.172,0.053,25.0,955,955,25_22,25_24,893.7204,41.21095,18.8344,0.0501,398.7704,17.0,20.0,2253.0,1845.0,2252.887,1844.9116,2252.887,1844.9116,192.16992583312424,27.409371329474855,1.141,1.075,-61.32,0.06567,0.06048,-63.51,2252.887,1844.9116,192.16992583312424,27.409371329474855,0.760828833,0.73690481,0.760828833,0.73690481,0.872,0.858,-6.33,0.872426,0.8582578,-6.33,22.8637,0.0,3.07,1.061,0.058,0.718,25.0,,,0.08025870669285255
